,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1437,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1893,21784
4,n10,운좋은고양이,2006,18633
5,n13,오리,2014,17185
6,n1,Guan_Yu,1459,16425
7,n20,전여친,1889,15386
8,n7,_천상,1109,15355
9,n8,민쏘쏘,2000,15309
10,n22,물련금,1987,14505
11,n8,샤또지마,1930,14056
12,n6,와니천사,1898,13317
13,n24,얌시선장,2000,13173
14,n10,v1p1최강의조련사,882,13075
15,n7,금돌,2007,12854
16,n14,마악마,1993,12775
17,n3,지옥불_,1927,12256
18,n0,운정리파괴자,2005,12176
19,n7,기억해사랑해,1262,11740
20,n0,산타루치노,2000,11608
21,n4,인생_콜전용,1714,11597
22,n0,헤독,2016,11266
23,n8,스마트무빙,1985,11257
24,n8,maya,921,11136
25,n2,리트군,1304,10991
26,n12,S2조자룡,1411,10306
27,n8,이치키,2011,10171
28,n9,나를찾지마,2010,10052
29,n8,HOOT,2009,9909
30,n7,묵꼼,1844,9810
31,n2,SeungEE,1991,9769
32,n8,vvvvvvvvvvvvv,1747,9647
33,n3,파이오니아,1850,9397
34,n19,사학광학사,1391,9357
35,n19,길선미,2017,9262
36,n4,무드리치,2000,9186
37,n20,MILKMAID,1930,9141
38,n8,아려니,2008,9131
39,n3,버닝12,1902,8953
40,n22,리퍼지크,2018,8853
41,n20,유이퐁,1977,8806
42,n0,없노,1794,8609
43,n0,화이어,708,8600
44,n8,지긋이창,2000,8567
45,n13,반짝반짝작은별,1917,8549
46,n9,가행건부,1772,8390
47,n4,삿제,1344,8379
48,n2,감자고구마,2012,8373
49,n9,Hwal,1770,8300
50,n25,부선장,1340,8081
51,n23,돌아온연금,2000,7921
52,n7,명량해전,2003,7898
53,n8,Lo또,1951,7889
54,n6,투컷,1279,7888
55,n7,잇섭,1986,7703
56,n13,주공주,1366,7449
57,n0,배스낚시,1474,7437
58,n20,SolarFlare,2000,7409
59,n6,깐지데쓰,899,7313
60,n2,오사카_유니버셜,1366,7129
61,n9,귓볼탱탱,1409,7112
62,n21,핼버드,1683,7071
63,n0,하늘이다,905,7020
64,n2,천상마법지존,774,6904
65,n4,1____M,1920,6869
66,n19,오랜방황의끝,1990,6859
67,n8,페르파,1809,6774
68,n23,Gift_,1929,6754
69,n12,춰콜릿,1892,6708
70,n16,씽긋,1745,6700
71,n14,효됴르원펀치,1385,6698
72,n9,여교사,1703,6656
73,n8,양갱수리,2000,6604
74,n14,리촹,1942,6520
75,n13,너키,1950,6509
76,n19,너랭이,2000,6490
77,n4,무기없는잇터님,2013,6434
78,n20,뱌이,2000,6418
79,n19,리정인,2000,6407
80,n9,신민아이유인나,1812,6389
81,n8,한우육회,1894,6378
82,n9,보찌,1948,6361
83,n8,유로폼,2003,6331
84,n6,리치골드,601,6310
85,n20,서하엘,1918,6240
86,n23,앙금술사,2000,6198
87,n14,결제가아니라결재,2001,6183
88,n8,스카이부동산,1935,6180
89,n8,최서린,2000,6108
90,n4,선비타천,1262,6095
91,n19,쿠키돈먹음,2002,6051
92,n1,Trudy,1927,6051
93,n8,운좋지마,2006,6047
94,n20,지죤,1943,6033
95,n8,시옷,2003,6008
96,n22,탄알일발장전,1925,6007
97,n20,일단믿어봐,1730,5992
98,n4,튼실,1981,5887
99,n1,넌내꼬,1301,5860
100,n22,슈퍼파워연금,1730,5849
