,職業,キャラクター,レベル,ポイント
1,n9,insunsky,1743,17735
2,n10,천마신녀,1686,14652
3,n9,고운비,867,12654
4,n2,레드마인,1691,11112
5,n0,자연의마신,1513,10172
6,n9,test_1,853,9841
7,n10,윤형석,2021,9752
8,n4,의사면허정지,2021,9661
9,n2,다크루비,895,9400
10,n4,샤비o,1685,9358
11,n16,공약,2022,8457
12,n6,DestinyHERO2,2009,8375
13,n10,뽀로로유치원,2023,8281
14,n2,댕아,2034,8034
15,n8,유드로얄,726,7616
16,n1,폭한,2011,7410
17,n1,차도살인,1159,7400
18,n6,마카오박,761,7379
19,n6,gojyosatoru,2016,7115
20,n4,홀리데인로마,2010,7085
21,n5,리에스,917,6936
22,n10,송그림,1901,6814
23,n2,우르햄,2008,6701
24,n24,Piracy,2030,6483
25,n8,가품,2029,6262
26,n8,달빛바람v,1809,6193
27,n1,sdfsfsdf,1768,6068
28,n8,오데트,2001,6039
29,n8,아리검,2031,5971
30,n1,뜨거운형제,1939,5878
31,n4,O___Oa,2006,5873
32,n0,Vaga_Bond,711,5821
33,n1,뭐이새기야,1438,5478
34,n4,의사면허취소,2010,5296
35,n1,천국의기사1,1502,5148
36,n9,명궁revis,828,5094
37,n0,노을산마루,752,5057
38,n0,별이랑사,2000,5013
39,n9,무대뽀걸,1909,5002
40,n20,지금니순간,2005,4990
41,n20,눈꽃잎,1714,4953
42,n0,BeautifulLife,868,4809
43,n4,홀__리,1908,4805
44,n19,김인성2,1818,4742
45,n19,결점,2047,4676
46,n0,친구란두글자,954,4626
47,n10,꼬마여우_JM,748,4588
48,n8,힘을숨긴궁수,1907,4569
49,n19,료네,2010,4487
50,n15,블러드체페쉬,2013,4296
51,n10,수성용,2002,4291
52,n21,엔도르시,1990,4187
53,n7,핑크블루,2013,4180
54,n8,윈도우걸,874,4180
55,n0,타락한gg기사,878,4036
56,n0,멜로우키스,873,4036
57,n8,솔잎새,2000,3969
58,n7,동관상사,867,3767
59,n9,Browns궁수,1502,3763
60,n10,혈마여련사,965,3707
61,n4,Twitter,1982,3654
62,n2,BTS_RapMonster,1991,3648
63,n2,라꿍이랑,2002,3575
64,n0,샷아빠,946,3525
65,n10,xKira,734,3458
66,n3,코울슬로,1667,3449
67,n24,xxXxXxx,2023,3444
68,n10,이양_조련,806,3409
69,n13,거치른이쁜걸,844,3357
70,n2,황제나라짱,761,3269
71,n9,상콤발랄,855,3261
72,n2,hong2,421,3179
73,n9,여전사도성,931,3164
74,n1,징한아이,928,3124
75,n6,블론드,1760,3116
76,n16,하이드넬,1911,3083
77,n20,민소매,1376,3070
78,n11,예쁜누님,976,3069
79,n7,아르로미토스,2029,3053
80,n4,_Taric_,1670,3020
81,n0,초특가,1841,3017
82,n8,JNS마창,1957,2989
83,n19,에넬,1974,2975
84,n0,김새봄,781,2969
85,n1,퍼펙트챔피언,1382,2954
86,n15,Tosihiro,1980,2939
87,n10,미워할수없는존재,714,2927
88,n8,포세이돈의딸,1733,2925
89,n0,잭니클라우스,1300,2924
90,n4,_천도_,1960,2920
91,n2,?0firdoqwucfeki,517,2908
92,n1,파괴의신념,1501,2881
93,n19,수감,1685,2880
94,n10,윈드에로우,909,2823
95,n2,아룡,705,2813
96,n4,철퇴로니뚝배기를,1515,2790
97,n8,현아사랑v,2001,2784
98,n4,라크_레크레이셔,2000,2778
99,n1,칸황,1393,2746
100,n3,익수스보법,1555,2694
