,職業,キャラクター,レベル,ポイント
1,n9,Deadly,1436,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1884,21717
4,n10,운좋은고양이,2002,17907
5,n1,Guan_Yu,1459,16425
6,n12,오리,2007,15903
7,n7,_천상,1109,15355
8,n8,민쏘쏘,2000,15170
9,n20,전여친,1827,14982
10,n8,샤또지마,1918,13971
11,n22,물련금,1955,13814
12,n10,v1p1최강의조련사,882,13075
13,n6,와니천사,1862,13041
14,n7,금돌,2004,12693
15,n24,얌시선장,1996,12559
16,n14,마악마,1964,12042
17,n3,지옥불_,1912,11876
18,n7,기억해사랑해,1262,11740
19,n4,인생_콜전용,1714,11597
20,n0,운정리파괴자,2002,11484
21,n0,산타루치노,1987,11279
22,n8,스마트무빙,1985,11257
23,n8,maya,921,11136
24,n2,리트군,1304,10991
25,n0,헤독,2005,10482
26,n12,S2조자룡,1411,10306
27,n7,묵꼼,1843,9805
28,n8,vvvvvvvvvvvvv,1747,9647
29,n9,나를찾지마,2004,9306
30,n3,파이오니아,1839,9260
31,n4,무드리치,2000,9186
32,n2,SeungEE,1960,9119
33,n19,사학광학사,1389,9021
34,n20,MILKMAID,1922,9009
35,n8,HOOT,2005,8984
36,n8,이치키,2004,8935
37,n8,아려니,2003,8660
38,n0,화이어,708,8600
39,n13,반짝반짝작은별,1917,8549
40,n0,없노,1793,8546
41,n3,버닝12,1891,8541
42,n9,가행건부,1772,8390
43,n4,삿제,1344,8379
44,n20,유이퐁,1954,8265
45,n9,Hwal,1768,8223
46,n19,길선미,2008,8139
47,n24,부선장,1340,8081
48,n23,돌아온연금,2000,7921
49,n6,투컷,1279,7888
50,n8,지긋이창,1978,7811
51,n22,리퍼지크,2009,7415
52,n20,SolarFlare,2000,7409
53,n0,배스낚시,1472,7390
54,n2,감자고구마,2005,7356
55,n7,명량해전,2002,7356
56,n8,Lo또,1939,7330
57,n6,깐지데쓰,899,7313
58,n2,오사카_유니버셜,1364,7081
59,n21,핼버드,1683,7071
60,n0,하늘이다,905,7020
61,n9,귓볼탱탱,1407,6983
62,n2,천상마법지존,774,6904
63,n4,1____M,1919,6863
64,n13,주공주,1345,6819
65,n8,페르파,1809,6774
66,n12,춰콜릿,1892,6708
67,n16,씽긋,1744,6700
68,n14,효됴르원펀치,1384,6661
69,n7,잇섭,1909,6605
70,n8,양갱수리,2000,6604
71,n8,여교사,1694,6506
72,n19,오랜방황의끝,1971,6447
73,n19,리정인,2000,6407
74,n9,신민아이유인나,1812,6389
75,n23,Gift_,1910,6359
76,n6,리치골드,601,6310
77,n13,너키,1925,6278
78,n22,앙금술사,2000,6198
79,n4,선비타천,1262,6095
80,n19,너랭이,1979,6076
81,n20,일단믿어봐,1730,5992
82,n8,최서린,1995,5956
83,n1,넌내꼬,1292,5858
84,n16,뛰낀,1840,5823
85,n8,유로폼,2002,5781
86,n14,리촹,1906,5733
87,n6,오I톨0l,873,5692
88,n4,무기없는잇터님,2004,5682
89,n20,서하엘,1888,5669
90,n7,모다모다,2000,5661
91,n20,뱌이,1963,5660
92,n7,김이준,1782,5647
93,n14,결제가아니라결재,1975,5643
94,n8,한우육회,1841,5640
95,n2,나는농부입니다,1863,5581
96,n1,Trudy,1907,5523
97,n19,한맹수인,1286,5522
98,n12,PPSWW,1748,5517
99,n13,무빙스피릿,1988,5461
100,n12,얘린,1782,5446
