,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1446,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1893,21784
4,n10,운좋은고양이,2012,19935
5,n13,오리,2024,19331
6,n1,Guan_Yu,1459,16425
7,n20,전여친,1928,15920
8,n7,_천상,1109,15355
9,n8,민쏘쏘,2000,15309
10,n22,물련금,2000,15072
11,n8,샤또지마,1947,14097
12,n24,얌시선장,2000,14059
13,n6,와니천사,1911,13607
14,n0,운정리파괴자,2010,13367
15,n0,산타루치노,2010,13227
16,n14,마악마,2000,13140
17,n10,v1p1최강의조련사,882,13075
18,n7,금돌,2007,12854
19,n8,이치키,2021,12309
20,n3,지옥불_,1927,12256
21,n7,기억해사랑해,1262,11740
22,n4,인생_콜전용,1714,11597
23,n0,헤독,2017,11416
24,n8,HOOT,2011,11371
25,n8,스마트무빙,1985,11257
26,n19,길선미,2025,11229
27,n8,maya,922,11136
28,n2,리트군,1304,10991
29,n22,리퍼지크,2028,10962
30,n9,나를찾지마,2011,10306
31,n12,S2조자룡,1411,10306
32,n2,SeungEE,2000,10093
33,n7,잇섭,2010,9997
34,n7,묵꼼,1844,9810
35,n3,파이오니아,1882,9752
36,n8,아려니,2011,9708
37,n8,vvvvvvvvvvvvv,1747,9647
38,n3,버닝12,1916,9520
39,n20,유이퐁,1995,9423
40,n19,사학광학사,1392,9357
41,n20,MILKMAID,1948,9281
42,n2,감자고구마,2021,9247
43,n4,무드리치,2000,9186
44,n0,없노,1797,8777
45,n9,Hwal,1779,8771
46,n8,Lo또,1974,8758
47,n0,화이어,708,8600
48,n8,지긋이창,2000,8567
49,n13,반짝반짝작은별,1917,8549
50,n7,명량해전,2008,8394
51,n9,가행건부,1772,8390
52,n4,삿제,1344,8379
53,n25,부선장,1340,8081
54,n16,바라코스,2022,7978
55,n0,배스낚시,1489,7939
56,n8,보찌,2003,7934
57,n23,돌아온연금,2000,7921
58,n6,투컷,1279,7888
59,n9,귓볼탱탱,1426,7751
60,n15,리촹,2000,7750
61,n20,뱌이,2004,7657
62,n20,웅치킨,2003,7523
63,n8,스카이부동산,1975,7512
64,n12,주공주,1367,7497
65,n8,한우육회,1935,7452
66,n20,SolarFlare,2000,7409
67,n23,Gift_,1954,7348
68,n13,너키,1999,7313
69,n6,깐지데쓰,899,7313
70,n19,오랜방황의끝,1999,7244
71,n20,지죤,1978,7243
72,n8,유로폼,2007,7140
73,n2,오사카_유니버셜,1366,7129
74,n14,효됴르원펀치,1390,7115
75,n24,망침,2009,7103
76,n8,시옷,2007,7077
77,n21,핼버드,1683,7071
78,n20,서하엘,1952,7021
79,n0,하늘이다,905,7020
80,n14,결제가아니라결재,2009,6990
81,n1,Trudy,1952,6958
82,n19,너랭이,2004,6922
83,n22,탄알일발장전,1960,6921
84,n2,천상마법지존,774,6904
85,n22,슈퍼파워연금,1792,6900
86,n4,1____M,1925,6886
87,n8,페르파,1809,6774
88,n12,춰콜릿,1892,6708
89,n16,씽긋,1745,6700
90,n9,여교사,1703,6656
91,n20,등치,2001,6650
92,n4,무기없는잇터님,2013,6626
93,n8,양갱수리,2000,6604
94,n4,튼실,2000,6414
95,n2,망파,1788,6411
96,n19,리정인,2000,6407
97,n9,신민아이유인나,1812,6389
98,n4,웅드리치,1978,6323
99,n6,리치골드,601,6310
100,n23,앙금술사,2000,6198
