,職業,キャラクター,レベル,ポイント
1,n12,오리,2050,38246
2,n10,운좋은고양이,2050,34852
3,n9,Deadly,1462,34168
4,n0,산타루치노,2059,29641
5,n19,길선미,2055,28830
6,n8,이치키,2041,24746
7,n14,결제가아니라결재,2053,23850
8,n8,다누리,1835,22973
9,n2,뉴삼총사,1934,22121
10,n2,감자고구마,2031,22017
11,n17,웅치키,2066,21899
12,n8,주악꾸악주의,2034,21607
13,n0,운정리파괴자,2030,20191
14,n14,마악마,2010,20058
15,n9,숑숑이활쏜다,2059,19005
16,n20,전여친,2000,18670
17,n8,민쏘쏘,2000,17685
18,n22,리퍼지크,2040,17628
19,n19,쿠키돈먹음,2032,16870
20,n1,Guan_Yu,1459,16425
21,n20,뱌이,2012,16192
22,n9,빨쿠,2014,15964
23,n7,와니천사,2002,15900
24,n2,멋진숑숑이,2052,15365
25,n7,_천상,1257,15359
26,n22,물련금,2000,15298
27,n20,등치,2030,15135
28,n0,여체1,2033,14825
29,n25,우측,1425,14699
30,n22,쇼팬,2055,14627
31,n9,HOOT,2014,14617
32,n8,보찌,2023,14387
33,n8,잼쿠,2022,14298
34,n24,얌시선장,2000,14286
35,n7,명량해전,2027,14123
36,n8,샤또지마,1971,14123
37,n2,지옥불_,2000,14051
38,n25,짱친,2023,13814
39,n8,맹밍,2036,13510
40,n20,웅치킨,2022,13461
41,n10,v1p1최강의조련사,882,13075
42,n7,금돌,2007,12856
43,n19,풀업s,2011,12819
44,n25,김치련,1373,12819
45,n1,칼질하지마,2037,12718
46,n16,바라코스,2041,12677
47,n3,버닝12,2000,12670
48,n25,제일포,1373,12383
49,n25,대못,1373,12374
50,n22,슈퍼파워연금,2000,12260
51,n7,MinJu,2000,12234
52,n14,vvwvvw,1372,12221
53,n2,망파,2000,12136
54,n25,추다솜,1419,12107
55,n0,구매완료,1370,12100
56,n9,vwwvvvw,1370,12051
57,n25,조옷가아,1420,12008
58,n25,감옥싫어,1372,11929
59,n25,참젓,1419,11901
60,n8,아려니,2033,11879
61,n25,퓨우웅시인,1419,11854
62,n15,리촹,2011,11798
63,n10,Dark다모,2011,11780
64,n7,기억해사랑해,1262,11740
65,n25,토토보증업체,1419,11695
66,n25,한미희,1419,11628
67,n4,인생_콜전용,1714,11597
68,n19,차우니,1952,11528
69,n0,헤독,2017,11416
70,n10,장찬미,1879,11398
71,n25,흑인이싸면깜찍,1372,11259
72,n8,스마트무빙,1985,11257
73,n10,투언,2000,11237
74,n8,심판,2029,11206
75,n18,사학광학사,1604,11190
76,n9,maya,925,11137
77,n10,빠칸,2011,11076
78,n2,리트군,1304,10991
79,n25,하예슬,1370,10922
80,n7,스와코프,2030,10837
81,n22,llIIllIllIlll,1503,10736
82,n7,잇섭,2014,10725
83,n10,목경운,2001,10722
84,n4,응묵,2000,10534
85,n25,줘엇까,1367,10466
86,n13,응식이,2000,10394
87,n25,트랄라레로,1366,10387
88,n2,SeungEE,2000,10358
89,n24,해선,2000,10345
90,n9,나를찾지마,2011,10306
91,n12,S2조자룡,1411,10306
92,n20,MILKMAID,2000,10262
93,n8,Lo또,2000,10206
94,n20,핼버드,2000,10192
95,n8,통통햄찌,2000,10156
96,n20,아모튼,2000,10099
97,n3,파이오니아,1925,10075
98,n22,seolA,2000,10025
99,n19,다이신,2000,9877
100,n20,유이퐁,2001,9823
