,職業,キャラクター,レベル,ポイント
1,n9,insunsky,1683,16776
2,n10,천마신녀,1623,14651
3,n9,고운비,867,12654
4,n2,레드마인,1627,11111
5,n0,자연의마신,1473,10072
6,n9,test_1,853,9841
7,n2,다크루비,895,9400
8,n4,샤비o,1620,9357
9,n6,DestinyHERO2,1985,7968
10,n8,유드로얄,726,7616
11,n1,차도살인,1159,7400
12,n6,마카오박,761,7379
13,n5,리에스,917,6936
14,n4,홀리데인로마,1996,6615
15,n1,폭한,1967,6607
16,n1,뜨거운형제,1915,5877
17,n0,sdfsfsdf,1658,5866
18,n0,Vaga_Bond,711,5821
19,n10,윤형석,2004,5593
20,n10,송그림,1766,5571
21,n1,뭐이새기야,1438,5478
22,n4,의사면허정지,2004,5458
23,n2,댕아,2007,5166
24,n24,Piracy,2008,5118
25,n9,명궁revis,828,5094
26,n0,노을산마루,752,5057
27,n20,눈꽃잎,1714,4953
28,n0,BeautifulLife,868,4809
29,n8,아리검,2003,4713
30,n1,천국의기사1,1317,4669
31,n0,친구란두글자,954,4626
32,n10,꼬마여우_JM,748,4588
33,n8,달빛바람v,1677,4502
34,n0,별이랑사,1962,4421
35,n9,무대뽀걸,1837,4325
36,n19,결점,2037,4321
37,n10,수성용,2000,4285
38,n8,윈도우걸,874,4180
39,n8,오데트,1900,4078
40,n0,타락한gg기사,878,4036
41,n0,멜로우키스,873,4036
42,n19,김인성2,1761,3994
43,n2,우르햄,1963,3856
44,n14,블러드체페쉬,2000,3853
45,n7,동관상사,867,3767
46,n4,O___Oa,1960,3766
47,n9,Browns궁수,1314,3713
48,n10,혈마여련사,965,3707
49,n16,공약,2000,3641
50,n7,핑크블루,1999,3633
51,n21,엔도르시,1956,3614
52,n0,샷아빠,946,3525
53,n4,Twitter,1944,3482
54,n10,xKira,734,3458
55,n10,이양_조련,806,3409
56,n10,뽀로로유치원,1956,3359
57,n13,거치른이쁜걸,844,3357
58,n2,황제나라짱,761,3269
59,n9,상콤발랄,855,3261
60,n3,코울슬로,1595,3189
61,n2,hong2,421,3179
62,n9,여전사도성,931,3164
63,n1,징한아이,928,3124
64,n6,블론드,1759,3116
65,n20,민소매,1376,3070
66,n11,예쁜누님,976,3069
67,n6,gojyosatoru,1945,2992
68,n8,가품,1943,2977
69,n0,김새봄,781,2969
70,n1,퍼펙트챔피언,1382,2954
71,n10,미워할수없는존재,714,2927
72,n8,포세이돈의딸,1732,2925
73,n0,잭니클라우스,1283,2911
74,n2,?0firdoqwucfeki,517,2908
75,n1,파괴의신념,1500,2881
76,n10,윈드에로우,909,2823
77,n24,xxXxXxx,1991,2813
78,n2,아룡,705,2813
79,n4,의사면허취소,1862,2803
80,n4,철퇴로니뚝배기를,1513,2790
81,n19,에넬,1932,2756
82,n1,칸황,1393,2746
83,n8,현아사랑v,2000,2714
84,n0,배리본즈,800,2688
85,n3,모뉴엘,1400,2640
86,n0,천황성,1049,2598
87,n10,무지개의안개,725,2517
88,n0,보라두비,1794,2494
89,n1,야원,1024,2451
90,n15,Tosihiro,1929,2444
91,n13,야채빵아,1976,2437
92,n8,틈새공략,910,2409
93,n8,lnstagram,1936,2364
94,n20,지금니순간,1922,2358
95,n0,날렵맨,764,2355
96,n6,웃을께이젠,800,2350
97,n16,사랑과정열을위해,1808,2344
98,n2,이상복,888,2305
99,n0,키노악마,715,2304
100,n9,JNS마창,1877,2284
