,職業,キャラクター,レベル,ポイント
1,n5,DEVAIN,1340,13875
2,n8,inta,1280,7329
3,n20,마스펠,1742,6726
4,n6,흑염룡,1419,6300
5,n18,배꼽,1905,5618
6,n9,이망,1930,4974
7,n21,2MORO,1500,4666
8,n12,버베나,1502,3788
9,n2,선임,1503,3691
10,n23,Deft,1402,3492
11,n2,IIllllllllllIlll,1403,3330
12,n23,백관,1301,3143
13,n6,떠돌이_,554,2856
14,n20,꺄세,1905,2814
15,n20,또릉이,1526,2805
16,n18,큐이,1410,2750
17,n6,셀리,426,2642
18,n6,공쥬님,869,2413
19,n7,고구마망,1527,2407
20,n12,넝쿨이,1304,2382
21,n4,활주,1281,2359
22,n19,웨여,1746,2213
23,n2,제이비,1182,2206
24,n7,티누,1004,2205
25,n8,이준석,1900,2200
26,n0,Slayer,1399,2163
27,n16,비_일오,1281,1916
28,n12,RaonLee,1253,1870
29,n4,TURN,1272,1852
30,n20,도레미파,2006,1839
31,n0,버키,1250,1753
32,n1,하정우,1341,1749
33,n3,다멜잉,1290,1705
34,n13,변신소녀님,1205,1681
35,n20,메이커,1437,1593
36,n8,은영,1374,1581
37,n8,비프리즈,1325,1573
38,n16,Haul,1911,1569
39,n0,칼전니크당,882,1503
40,n13,파벨,1257,1487
41,n2,역살,1252,1475
42,n21,수라a,1157,1441
43,n19,__수인,1182,1433
44,n9,이더리움코인,1328,1432
45,n8,SiegeGun,1186,1419
46,n10,Bartizan,1533,1412
47,n8,유나영,1216,1377
48,n20,YOLOMAID,1344,1371
49,n1,한겨레,1337,1360
50,n21,나빌레라,1508,1309
51,n0,maze_red,1800,1271
52,n11,또식소환,1294,1262
53,n2,전설,1312,1259
54,n1,Lipton,1252,1225
55,n7,빈둥,1854,1207
56,n9,lolol,1245,1207
57,n8,젤리삐,1087,1183
58,n8,삼미리,922,1155
59,n18,__형,1300,1130
60,n12,수기리,1928,1118
61,n20,티몰2,1619,1111
62,n0,예뻐,135,1108
63,n0,곽명훈,1198,1107
64,n4,김포,1550,1103
65,n2,콜드브루,1289,1093
66,n9,오로치,1265,1084
67,n8,워버러버덥덥,1088,1075
68,n19,참외배꼽,1403,1052
69,n6,Vayne,676,1047
70,n7,투후룰루,1709,1043
71,n13,덜렁,1250,1019
72,n20,__09,1075,1017
73,n16,WonderWoman,958,1006
74,n24,Aimyon,1317,1002
75,n9,천년용왕,404,1000
76,n9,평정,1317,995
77,n8,달빛에지는혼,1142,987
78,n5,쏘럭,1315,983
79,n24,뽀스,1412,964
80,n19,언더단속반,1546,963
81,n22,박하람,1344,955
82,n7,낭천,1269,945
83,n1,곰슬기,1254,940
84,n23,너굴이,1222,938
85,n6,한야,1297,930
86,n21,풀림,1332,897
87,n2,Sona,703,897
88,n2,음속,1104,890
89,n6,갈증,1204,884
90,n2,기호,1502,878
91,n6,일월이,619,876
92,n2,지휘관,1147,873
93,n5,Soraka,698,872
94,n7,카심,1311,869
95,n8,수기광호,1281,862
96,n13,Lulu,677,848
97,n1,Squire,928,844
98,n9,하노비,884,828
99,n21,사신소녀,1620,809
100,n0,KEYBOARDWORRIER,978,796
