,職業,キャラクター,レベル,ポイント
1,n12,오리,2047,35470
2,n9,Deadly,1462,34168
3,n10,운좋은고양이,2043,31373
4,n0,산타루치노,2051,27053
5,n19,길선미,2053,25293
6,n8,이치키,2040,23695
7,n8,다누리,1835,22973
8,n2,뉴삼총사,1898,21825
9,n14,결제가아니라결재,2048,21592
10,n2,감자고구마,2031,21320
11,n14,마악마,2009,19861
12,n17,웅치키,2063,19516
13,n20,전여친,2000,18659
14,n0,운정리파괴자,2021,17999
15,n8,주악꾸악주의,2033,17986
16,n22,리퍼지크,2040,17628
17,n9,숑숑이활쏜다,2053,17216
18,n1,Guan_Yu,1459,16425
19,n7,와니천사,2002,15900
20,n8,민쏘쏘,2000,15504
21,n7,_천상,1257,15359
22,n22,물련금,2000,15072
23,n0,여체1,2033,14825
24,n8,HOOT,2014,14496
25,n20,뱌이,2012,14330
26,n24,얌시선장,2000,14286
27,n8,샤또지마,1971,14123
28,n19,쿠키돈먹음,2032,14086
29,n2,지옥불_,2000,14051
30,n9,빨쿠,2013,13871
31,n20,등치,2028,13864
32,n2,멋진숑숑이,2045,13814
33,n8,보찌,2020,13797
34,n20,웅치킨,2022,13461
35,n10,v1p1최강의조련사,882,13075
36,n7,명량해전,2024,12935
37,n7,금돌,2007,12856
38,n3,버닝12,2000,12670
39,n8,맹밍,2030,12275
40,n22,슈퍼파워연금,2000,12260
41,n2,망파,2000,12136
42,n25,짱친,2019,12083
43,n25,우측,1423,11921
44,n15,리촹,2011,11798
45,n10,Dark다모,2011,11775
46,n7,기억해사랑해,1262,11740
47,n8,아려니,2030,11737
48,n8,잼쿠,2018,11716
49,n4,인생_콜전용,1714,11597
50,n19,차우니,1952,11528
51,n22,쇼팬,2052,11469
52,n0,헤독,2017,11416
53,n10,장찬미,1879,11398
54,n8,스마트무빙,1985,11257
55,n18,사학광학사,1604,11190
56,n9,maya,924,11136
57,n10,빠칸,2011,11076
58,n2,리트군,1304,10991
59,n10,투언,1982,10976
60,n7,스와코프,2028,10831
61,n7,잇섭,2014,10725
62,n4,응묵,2000,10534
63,n13,응식이,2000,10394
64,n25,해선,2000,10345
65,n9,나를찾지마,2011,10306
66,n12,S2조자룡,1411,10306
67,n20,MILKMAID,2000,10262
68,n8,Lo또,2000,10206
69,n2,SeungEE,2000,10180
70,n8,통통햄찌,2000,10156
71,n20,아모튼,2000,10099
72,n3,파이오니아,1923,10075
73,n20,핼버드,2000,9954
74,n25,김치련,1370,9931
75,n19,다이신,2000,9877
76,n25,흑인이싸면깜찍,1370,9853
77,n20,유이퐁,2001,9823
78,n7,묵꼼,1845,9810
79,n13,주공주,1436,9806
80,n7,MinJu,2000,9789
81,n8,심판,2027,9749
82,n19,리정인,2015,9745
83,n8,한우육회,2000,9717
84,n8,vvvvvvvvvvvvv,1747,9647
85,n19,풀업s,2007,9623
86,n1,칼질하지마,2020,9617
87,n8,죽어줄래,2030,9604
88,n22,llIIllIllIlll,1495,9501
89,n25,제일포,1370,9468
90,n14,vvwvvw,1369,9457
91,n14,앙루삥뽕,2000,9428
92,n25,대못,1370,9414
93,n7,D여비,2000,9301
94,n9,vwwvvvw,1367,9296
95,n23,Gift_,1989,9282
96,n7,장은일,2000,9249
97,n0,구매완료,1366,9232
98,n4,무드리치,2000,9186
99,n2,샌라이,1684,9175
100,n0,없노,1808,9154
