,職業,キャラクター,レベル,ポイント
1,n12,봉선생,1503,21673
2,n21,NapIes,2006,21633
3,n10,핑크펄,1154,18853
4,n8,켈미,2003,16332
5,n19,Devas,1977,16132
6,n19,커럽,2012,16000
7,n9,구공레이디,2000,15987
8,n7,개킹받쥬,2000,15288
9,n16,최온,1899,15227
10,n7,임나엘,1910,14918
11,n8,바다의사랑,1804,14678
12,n15,강강술술,2000,13737
13,n3,Vishnu,1969,13383
14,n19,강술전용버프켈,1831,13339
15,n9,먀옹,1621,12632
16,n1,강술전용시머링,1842,11670
17,n8,yh창병,2013,11542
18,n22,덥크,1617,11495
19,n16,잔댜르크,1970,11485
20,n9,신녀,2000,11427
21,n5,Brahma,1949,11169
22,n5,혈색,1621,11015
23,n21,파초선,1975,10874
24,n9,뚫어드림,1881,10849
25,n1,녹백,1615,10819
26,n7,우치하강술이,1730,10264
27,n12,체페시,2000,10211
28,n8,찰슨,2006,10060
29,n5,타락한강술,1731,9994
30,n14,적치,1614,9890
31,n4,q주몽p,856,9755
32,n13,윙첼,1975,9388
33,n23,연연술술,1697,9218
34,n9,얼짱소녀,763,9121
35,n2,1004대장,756,9072
36,n23,liillililililili,1626,8966
37,n9,뿌잉뽀잉,1947,8383
38,n8,silo,1904,8105
39,n2,그냥보조캐릭터,1946,7802
40,n0,CrimsonKnight,1953,7722
41,n8,Polaris,1373,7509
42,n20,찰슨_메,1993,6937
43,n4,지화자뉴달봉,1410,6910
44,n8,아리아드,1903,6909
45,n10,버디와친구들,1500,6844
46,n11,환락가,1486,6567
47,n6,서랍속통닭,1289,6559
48,n2,버비야,1356,6543
49,n0,Reilz,1952,6465
50,n25,좀이쁜닉네임,1729,6275
51,n0,이쁜아2,1258,6078
52,n7,갓무도가,1589,6038
53,n19,사랑의인사,1957,6026
54,n9,남천,1973,5852
55,n2,q삼족오p,853,5825
56,n10,평화의행진곡,1571,5705
57,n23,금모으기운동,1649,5572
58,n3,헤차니스a,860,5561
59,n2,작열,759,5475
60,n20,지메,1670,5423
61,n10,LakShmi,1571,5416
62,n10,한나수이,649,5248
63,n4,천사사랑3,759,5234
64,n10,버닝조련1,923,5142
65,n13,이뮨,1597,4845
66,n1,바른말고운말,1450,4813
67,n8,dfsfsgferw,781,4808
68,n9,적중100퍼,781,4808
69,n16,쥬금이_영,1908,4722
70,n4,s세라s,1910,4711
71,n19,Mild_수인,1825,4700
72,n8,우리반슛돌이,1968,4692
73,n18,단건우,1575,4668
74,n16,못난이님,1346,4629
75,n7,천천히크는사람,1281,4596
76,n8,어르신,964,4584
77,n2,Celebrity,1621,4551
78,n10,푸른달의마녀,344,4452
79,n8,유티,1418,4362
80,n6,인자무인,708,4304
81,n0,s가을동화s,792,4298
82,n23,지크하트,1592,4161
83,n8,너랭이,1422,4152
84,n8,눈꽃의희야,1279,4149
85,n0,은하계수리공,657,4037
86,n10,o여름향기o,846,3961
87,n0,투옵,828,3867
88,n21,만년이2탄,1955,3854
89,n9,강한_,1616,3825
90,n10,사랑은유죄,904,3810
91,n16,IlIl레이지lIIl,931,3781
92,n7,레전더리,1501,3765
93,n0,실밥이니,1903,3757
94,n13,정화목,938,3744
95,n19,쥬금이_수,1615,3742
96,n1,핼리해성,1457,3719
97,n13,보라3,810,3704
98,n10,재키찬75,745,3645
99,n14,키썸,1579,3635
100,n1,무한사신,234,3625
