,職業,キャラクター,レベル,ポイント
1,n9,Deadly,1436,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1881,21702
4,n10,운좋은고양이,2001,17829
5,n1,Guan_Yu,1459,16425
6,n12,오리,2005,15777
7,n7,_천상,1109,15355
8,n8,민쏘쏘,2000,15106
9,n20,전여친,1827,14982
10,n8,샤또지마,1917,13971
11,n22,물련금,1949,13730
12,n10,v1p1최강의조련사,882,13075
13,n6,와니천사,1850,12982
14,n7,금돌,2003,12637
15,n24,얌시선장,1994,12494
16,n14,마악마,1960,11981
17,n3,지옥불_,1911,11832
18,n7,기억해사랑해,1262,11740
19,n4,인생_콜전용,1714,11597
20,n0,운정리파괴자,2002,11422
21,n8,스마트무빙,1985,11257
22,n0,산타루치노,1983,11207
23,n8,maya,921,11136
24,n2,리트군,1304,10991
25,n0,헤독,2004,10412
26,n12,S2조자룡,1411,10306
27,n7,묵꼼,1843,9805
28,n8,vvvvvvvvvvvvv,1747,9647
29,n3,파이오니아,1836,9260
30,n9,나를찾지마,2003,9242
31,n4,무드리치,2000,9186
32,n2,SeungEE,1953,9036
33,n19,사학광학사,1389,9021
34,n20,MILKMAID,1920,8988
35,n8,HOOT,2004,8890
36,n8,이치키,2003,8828
37,n8,아려니,2002,8610
38,n0,화이어,708,8600
39,n13,반짝반짝작은별,1917,8549
40,n0,없노,1792,8506
41,n3,버닝12,1890,8482
42,n8,가행건부,1772,8390
43,n4,삿제,1344,8376
44,n9,Hwal,1768,8218
45,n20,유이퐁,1947,8158
46,n24,부선장,1340,8081
47,n19,길선미,2006,8010
48,n23,돌아온연금,2000,7921
49,n6,투컷,1279,7888
50,n8,지긋이창,1975,7739
51,n20,SolarFlare,2000,7409
52,n0,배스낚시,1471,7353
53,n6,깐지데쓰,899,7313
54,n7,명량해전,2001,7290
55,n22,리퍼지크,2007,7279
56,n8,Lo또,1937,7279
57,n2,감자고구마,2004,7249
58,n2,오사카_유니버셜,1364,7081
59,n21,핼버드,1683,7071
60,n0,하늘이다,905,7020
61,n9,귓볼탱탱,1407,6964
62,n2,천상마법지존,774,6904
63,n4,1____M,1919,6863
64,n12,주공주,1342,6776
65,n8,페르파,1809,6774
66,n12,춰콜릿,1892,6708
67,n16,씽긋,1744,6700
68,n8,양갱수리,2000,6604
69,n14,효됴르원펀치,1383,6588
70,n7,잇섭,1908,6573
71,n8,여교사,1690,6445
72,n19,리정인,2000,6407
73,n19,오랜방황의끝,1967,6403
74,n9,신민아이유인나,1812,6389
75,n6,리치골드,601,6310
76,n23,Gift_,1906,6300
77,n13,너키,1923,6245
78,n23,앙금술사,2000,6198
79,n4,선비타천,1262,6095
80,n19,너랭이,1975,6022
81,n20,일단믿어봐,1730,5992
82,n1,넌내꼬,1291,5858
83,n8,최서린,1992,5855
84,n16,뛰낀,1840,5823
85,n6,오I톨0l,873,5692
86,n8,유로폼,2001,5689
87,n7,모다모다,2000,5661
88,n14,리촹,1900,5658
89,n7,김이준,1781,5641
90,n4,무기없는잇터님,2003,5607
91,n20,서하엘,1881,5601
92,n20,뱌이,1958,5579
93,n14,결제가아니라결재,1970,5573
94,n2,나는농부입니다,1861,5559
95,n8,한우육회,1833,5557
96,n19,한맹수인,1286,5522
97,n12,PPSWW,1748,5517
98,n13,무빙스피릿,1988,5461
99,n1,Trudy,1903,5447
100,n14,멜론플레이어,1323,5433
