,職業,キャラクター,レベル,ポイント
1,n12,봉선생,1501,21673
2,n10,핑크펄,1137,18852
3,n20,NapIes,2005,18737
4,n8,켈미,2003,15177
5,n8,바다의사랑,1804,14678
6,n9,구공레이디,2000,13913
7,n16,최온,1855,13868
8,n19,Devas,1926,13803
9,n15,강강술술,2000,13737
10,n7,임나엘,1856,13319
11,n19,커럽,2000,13304
12,n7,개킹받쥬,1969,12580
13,n19,강술전용버프켈,1807,12320
14,n3,Vishnu,1926,11491
15,n9,신녀,2000,11427
16,n9,먀옹,1613,10884
17,n21,파초선,1975,10874
18,n1,강술전용시머링,1806,10281
19,n13,체페시,2000,10211
20,n23,덥크,1609,10030
21,n4,q주몽p,856,9755
22,n8,뚫어드림,1847,9495
23,n7,우치하강술이,1682,9372
24,n5,혈색,1614,9360
25,n16,잔댜르크,1923,9356
26,n9,얼짱소녀,763,9121
27,n0,녹백,1605,9083
28,n2,1004대장,756,9072
29,n5,Brahma,1901,8968
30,n5,타락한강술,1677,8966
31,n23,liillililililili,1626,8966
32,n23,연연술술,1656,8757
33,n8,yh창병,2000,8720
34,n14,적치,1604,8367
35,n8,silo,1904,8105
36,n8,Polaris,1362,7493
37,n13,윙첼,1919,7053
38,n4,지화자뉴달봉,1376,6910
39,n8,찰슨,1970,6905
40,n10,버디와친구들,1491,6844
41,n8,아리아드,1885,6825
42,n11,환락가,1486,6567
43,n6,서랍속통닭,1289,6559
44,n2,버비야,1350,6543
45,n0,Reilz,1934,6465
46,n9,뿌잉뽀잉,1885,6113
47,n0,이쁜아2,1258,6078
48,n7,갓무도가,1588,6038
49,n8,남천,1944,5842
50,n2,q삼족오p,853,5825
51,n1,CrimsonKnight,1904,5779
52,n10,평화의행진곡,1571,5705
53,n3,헤차니스a,860,5561
54,n2,작열,759,5475
55,n10,LakShmi,1571,5416
56,n10,한나수이,649,5248
57,n4,천사사랑3,759,5234
58,n10,버닝조련1,923,5142
59,n2,그냥보조캐릭터,1785,5020
60,n24,좀이쁜닉네임,1658,4876
61,n1,바른말고운말,1401,4813
62,n8,dfsfsgferw,781,4808
63,n9,적중100퍼,781,4808
64,n16,못난이님,1346,4629
65,n7,천천히크는사람,1281,4596
66,n8,어르신,964,4584
67,n2,Celebrity,1621,4551
68,n10,푸른달의마녀,344,4452
69,n8,유티,1418,4362
70,n6,인자무인,708,4304
71,n0,s가을동화s,792,4298
72,n23,지크하트,1592,4161
73,n8,너랭이,1422,4152
74,n8,눈꽃의희야,1268,4132
75,n23,금모으기운동,1597,4114
76,n0,은하계수리공,657,4037
77,n4,s세라s,1840,3976
78,n10,o여름향기o,846,3961
79,n0,투옵,828,3867
80,n20,지메,1572,3866
81,n9,강한_,1616,3825
82,n10,사랑은유죄,904,3810
83,n16,IlIl레이지lIIl,931,3781
84,n7,레전더리,1501,3765
85,n13,정화목,938,3744
86,n19,쥬금이_수,1613,3737
87,n13,보라3,810,3704
88,n1,핼리해성,1432,3698
89,n10,재키찬75,745,3645
90,n1,무한사신,234,3625
91,n7,붉은보석을훔친자,885,3571
92,n0,보석전사,726,3547
93,n13,이뮨,1549,3516
94,n18,단건우,1527,3513
95,n2,Izzy,1500,3475
96,n18,채륜,1506,3469
97,n16,메인모을거야,1470,3439
98,n7,숫찰떡,1577,3392
99,n12,정의무변,368,3392
100,n8,귀_족,1500,3389
