,職業,キャラクター,レベル,ポイント
1,n9,Deadly,1461,34168
2,n13,오리,2036,23975
3,n8,다누리,1835,22973
4,n10,운좋은고양이,2021,22837
5,n2,뉴삼총사,1894,21784
6,n0,산타루치노,2023,16802
7,n1,Guan_Yu,1459,16425
8,n8,이치키,2030,16060
9,n0,운정리파괴자,2016,16030
10,n20,전여친,1930,15920
11,n7,_천상,1255,15359
12,n8,민쏘쏘,2000,15309
13,n7,와니천사,1993,15231
14,n22,물련금,2000,15072
15,n14,마악마,2005,15056
16,n19,길선미,2030,14920
17,n22,리퍼지크,2036,14733
18,n24,얌시선장,2000,14286
19,n8,샤또지마,1969,14123
20,n8,HOOT,2014,13854
21,n10,v1p1최강의조련사,882,13075
22,n7,금돌,2007,12854
23,n2,감자고구마,2023,12700
24,n3,지옥불_,1927,12256
25,n7,기억해사랑해,1262,11740
26,n4,인생_콜전용,1714,11597
27,n0,헤독,2017,11416
28,n8,보찌,2018,11279
29,n8,스마트무빙,1985,11257
30,n20,웅치킨,2020,11235
31,n19,사학광학사,1604,11190
32,n8,maya,922,11136
33,n2,리트군,1304,10991
34,n3,버닝12,1948,10880
35,n7,잇섭,2014,10725
36,n14,결제가아니라결재,2021,10709
37,n8,아려니,2016,10340
38,n9,나를찾지마,2011,10306
39,n12,S2조자룡,1411,10306
40,n8,Lo또,2000,10206
41,n20,뱌이,2012,10111
42,n2,SeungEE,2000,10093
43,n3,파이오니아,1923,10063
44,n20,유이퐁,2001,9823
45,n7,묵꼼,1844,9810
46,n8,vvvvvvvvvvvvv,1747,9647
47,n12,주공주,1434,9591
48,n15,리촹,2010,9582
49,n8,한우육회,1992,9376
50,n10,빠칸,2011,9356
51,n20,MILKMAID,1970,9356
52,n7,명량해전,2018,9299
53,n4,무드리치,2000,9186
54,n0,없노,1808,9154
55,n22,슈퍼파워연금,1894,9127
56,n9,Hwal,1795,9117
57,n2,망파,1917,8968
58,n8,스카이부동산,2000,8909
59,n20,등치,2011,8878
60,n16,웅치키,2029,8665
61,n20,지죤,2000,8633
62,n0,배스낚시,1513,8631
63,n0,화이어,708,8600
64,n23,Gift_,1979,8577
65,n1,여체1,2016,8575
66,n8,주악꾸악주의,2015,8575
67,n8,숑숑이활쏜다,2025,8570
68,n8,지긋이창,2000,8567
69,n13,반짝반짝작은별,1917,8549
70,n13,너키,2005,8441
71,n25,짱친,2015,8433
72,n9,귓볼탱탱,1457,8428
73,n9,가행건부,1772,8390
74,n4,삿제,1344,8379
75,n20,서하엘,1985,8367
76,n16,바라코스,2023,8308
77,n1,Trudy,1975,8260
78,n25,부선장,1340,8081
79,n23,돌아온연금,2000,7921
80,n6,투컷,1279,7888
81,n9,유로폼,2009,7865
82,n9,시옷,2009,7827
83,n19,리정인,2007,7735
84,n19,중약,2000,7659
85,n23,임플로드,2000,7610
86,n8,심판,2018,7526
87,n19,너랭이,2011,7416
88,n20,SolarFlare,2000,7409
89,n22,탄알일발장전,1978,7405
90,n9,여교사,1821,7387
91,n7,장은일,1955,7374
92,n23,보옹알,2003,7318
93,n6,깐지데쓰,899,7313
94,n19,오랜방황의끝,2000,7250
95,n14,효됴르원펀치,1391,7250
96,n10,Dark다모,2011,7230
97,n2,오사카_유니버셜,1366,7129
98,n24,망침,2009,7103
99,n21,핼버드,1683,7071
100,n0,하늘이다,906,7020
