,職業,キャラクター,レベル,ポイント
1,n20,NapIes,2016,24743
2,n12,봉선생,1509,21673
3,n19,커럽,2029,21572
4,n10,핑크펄,1181,18853
5,n9,구공레이디,2001,18822
6,n19,Devas,2000,18635
7,n7,개킹받쥬,2000,18143
8,n8,yh창병,2030,16613
9,n8,켈미,2003,16332
10,n2,Vishnu,1990,15712
11,n9,먀옹,1643,15503
12,n16,최온,1899,15227
13,n7,임나엘,1910,14918
14,n8,바다의사랑,1804,14678
15,n22,덥크,1639,14464
16,n16,잔댜르크,2000,14005
17,n1,녹백,1636,13761
18,n14,강강술술,2000,13737
19,n8,찰슨,2012,13537
20,n5,Brahma,2000,13376
21,n19,강술전용버프켈,1831,13339
22,n5,혈색,1639,13182
23,n13,윙첼,2000,12028
24,n14,적치,1631,11983
25,n1,강술전용시머링,1842,11670
26,n2,그냥보조캐릭터,2001,11604
27,n9,신녀,2000,11427
28,n19,사랑의인사,2017,11164
29,n21,파초선,1975,10874
30,n9,뚫어드림,1881,10849
31,n20,지메,1911,10485
32,n9,뿌잉뽀잉,2002,10365
33,n7,우치하강술이,1730,10264
34,n12,체페시,2000,10211
35,n5,타락한강술,1731,9994
36,n0,CrimsonKnight,2000,9889
37,n4,q주몽p,856,9755
38,n23,연연술술,1697,9218
39,n9,얼짱소녀,763,9121
40,n2,1004대장,756,9072
41,n23,liillililililili,1626,8966
42,n19,Mild_수인,2000,8741
43,n1,돈키오테,2020,8611
44,n20,찰슨_메,2003,8455
45,n13,이뮨,1634,8264
46,n8,silo,1904,8105
47,n8,우리반슛돌이,2008,7837
48,n8,Polaris,1373,7509
49,n8,아리아드,1964,7170
50,n7,스껄,1928,7134
51,n0,실밥이니,2004,6942
52,n4,지화자뉴달봉,1450,6910
53,n10,버디와친구들,1500,6844
54,n23,금모으기운동,1694,6700
55,n2,체리빙수,2001,6664
56,n11,환락가,1486,6567
57,n6,서랍속통닭,1289,6559
58,n2,버비야,1356,6543
59,n0,Reilz,1952,6465
60,n25,좀이쁜닉네임,1729,6275
61,n16,쥬금이_영,2001,6238
62,n0,이쁜아2,1258,6078
63,n7,갓무도가,1589,6038
64,n8,남천,2000,5939
65,n10,우주소년,2003,5840
66,n2,q삼족오p,853,5825
67,n10,평화의행진곡,1571,5705
68,n4,s세라s,1930,5636
69,n3,헤차니스a,860,5561
70,n2,작열,759,5475
71,n10,LakShmi,1571,5416
72,n10,한나수이,649,5248
73,n4,천사사랑3,759,5234
74,n19,수요타,1927,5209
75,n10,버닝조련1,923,5142
76,n14,강강슐슐,1783,4843
77,n20,Stella_,1927,4829
78,n1,바른말고운말,1500,4813
79,n8,dfsfsgferw,781,4808
80,n9,적중100퍼,781,4808
81,n19,찰슨_수,1881,4756
82,n20,바게트,1904,4682
83,n18,단건우,1575,4668
84,n16,못난이님,1346,4629
85,n7,천천히크는사람,1281,4596
86,n8,어르신,964,4584
87,n3,Celebrity,1621,4551
88,n14,깐뽀,1765,4518
89,n10,푸른달의마녀,344,4452
90,n8,유티,1418,4362
91,n24,구눙,1992,4343
92,n6,인자무인,708,4304
93,n0,s가을동화s,792,4298
94,n13,지지않는청춘,1772,4246
95,n9,눈꽃의희야,1309,4183
96,n23,지크하트,1593,4161
97,n8,너랭이,1422,4152
98,n21,쥬금이_이,1582,4040
99,n0,은하계수리공,657,4037
100,n11,핫식스포스,1886,4011
