,職業,キャラクター,レベル,ポイント
1,n9,insunsky,1687,16834
2,n10,천마신녀,1627,14651
3,n9,고운비,867,12654
4,n2,레드마인,1631,11111
5,n0,자연의마신,1476,10074
6,n9,test_1,853,9841
7,n2,다크루비,895,9400
8,n4,샤비o,1624,9357
9,n6,DestinyHERO2,1991,8062
10,n8,유드로얄,726,7616
11,n1,차도살인,1159,7400
12,n6,마카오박,761,7379
13,n5,리에스,917,6936
14,n4,홀리데인로마,1999,6735
15,n1,폭한,1972,6651
16,n0,sdfsfsdf,1665,5945
17,n10,윤형석,2006,5896
18,n1,뜨거운형제,1918,5877
19,n0,Vaga_Bond,711,5821
20,n4,의사면허정지,2006,5749
21,n10,송그림,1779,5628
22,n1,뭐이새기야,1438,5478
23,n24,Piracy,2010,5275
24,n2,댕아,2009,5273
25,n9,명궁revis,828,5094
26,n0,노을산마루,752,5057
27,n20,눈꽃잎,1714,4953
28,n8,아리검,2005,4810
29,n0,BeautifulLife,868,4809
30,n1,천국의기사1,1324,4671
31,n0,친구란두글자,954,4626
32,n10,꼬마여우_JM,748,4588
33,n8,달빛바람v,1683,4502
34,n0,별이랑사,1969,4493
35,n9,무대뽀걸,1843,4372
36,n8,오데트,1913,4355
37,n19,결점,2037,4321
38,n10,수성용,2001,4286
39,n8,윈도우걸,874,4180
40,n2,우르햄,1983,4090
41,n4,O___Oa,1980,4052
42,n0,타락한gg기사,878,4036
43,n0,멜로우키스,873,4036
44,n19,김인성2,1765,4021
45,n16,공약,2002,3917
46,n14,블러드체페쉬,2000,3853
47,n7,동관상사,867,3767
48,n9,Browns궁수,1322,3723
49,n10,혈마여련사,965,3707
50,n21,엔도르시,1961,3689
51,n7,핑크블루,2000,3659
52,n10,뽀로로유치원,1976,3656
53,n0,샷아빠,946,3525
54,n4,Twitter,1947,3486
55,n10,xKira,734,3458
56,n10,이양_조련,806,3409
57,n13,거치른이쁜걸,844,3357
58,n2,황제나라짱,761,3269
59,n9,상콤발랄,855,3261
60,n6,gojyosatoru,1970,3254
61,n3,코울슬로,1602,3228
62,n2,hong2,421,3179
63,n9,여전사도성,931,3164
64,n1,징한아이,928,3124
65,n4,의사면허취소,1890,3122
66,n6,블론드,1759,3116
67,n8,가품,1954,3073
68,n20,민소매,1376,3070
69,n11,예쁜누님,976,3069
70,n0,김새봄,781,2969
71,n1,퍼펙트챔피언,1382,2954
72,n10,미워할수없는존재,714,2927
73,n8,포세이돈의딸,1732,2925
74,n0,잭니클라우스,1286,2911
75,n2,?0firdoqwucfeki,517,2908
76,n1,파괴의신념,1500,2881
77,n24,xxXxXxx,1997,2847
78,n10,윈드에로우,909,2823
79,n2,아룡,705,2813
80,n4,철퇴로니뚝배기를,1513,2790
81,n19,에넬,1934,2758
82,n1,칸황,1393,2746
83,n8,현아사랑v,2000,2714
84,n0,배리본즈,800,2688
85,n20,지금니순간,1941,2687
86,n3,모뉴엘,1400,2640
87,n0,천황성,1049,2598
88,n10,무지개의안개,725,2517
89,n13,야채빵아,1980,2503
90,n15,Tosihiro,1935,2502
91,n0,보라두비,1794,2494
92,n19,료네,1887,2459
93,n1,야원,1024,2451
94,n8,틈새공략,910,2409
95,n9,JNS마창,1887,2365
96,n8,lnstagram,1939,2364
97,n0,날렵맨,764,2355
98,n6,웃을께이젠,800,2350
99,n16,사랑과정열을위해,1808,2344
100,n4,라크_레크레이셔,1979,2317
