,職業,キャラクター,レベル,ポイント
1,n12,봉선생,1502,21673
2,n20,NapIes,2006,19872
3,n10,핑크펄,1144,18852
4,n8,켈미,2003,15641
5,n9,구공레이디,2000,14690
6,n8,바다의사랑,1804,14678
7,n19,Devas,1944,14644
8,n16,최온,1879,14582
9,n7,임나엘,1890,14221
10,n19,커럽,2003,14033
11,n15,강강술술,2000,13737
12,n7,개킹받쥬,1993,13621
13,n19,강술전용버프켈,1818,12750
14,n3,Vishnu,1942,12190
15,n9,먀옹,1616,11507
16,n9,신녀,2000,11427
17,n1,강술전용시머링,1827,10945
18,n21,파초선,1975,10874
19,n22,덥크,1611,10517
20,n12,체페시,2000,10211
21,n9,뚫어드림,1862,10180
22,n16,잔댜르크,1939,10124
23,n5,혈색,1616,10027
24,n7,우치하강술이,1710,9803
25,n4,q주몽p,856,9755
26,n5,Brahma,1919,9703
27,n1,녹백,1608,9695
28,n5,타락한강술,1705,9440
29,n8,yh창병,2003,9411
30,n9,얼짱소녀,763,9121
31,n2,1004대장,756,9072
32,n23,liillililililili,1626,8966
33,n14,적치,1606,8917
34,n23,연연술술,1665,8802
35,n8,silo,1904,8105
36,n8,찰슨,1999,7950
37,n13,윙첼,1942,7864
38,n8,Polaris,1373,7509
39,n9,뿌잉뽀잉,1915,6913
40,n4,지화자뉴달봉,1383,6910
41,n10,버디와친구들,1500,6844
42,n8,아리아드,1888,6841
43,n11,환락가,1486,6567
44,n6,서랍속통닭,1289,6559
45,n0,CrimsonKnight,1928,6556
46,n2,버비야,1355,6543
47,n0,Reilz,1946,6465
48,n0,이쁜아2,1258,6078
49,n7,갓무도가,1589,6038
50,n2,그냥보조캐릭터,1879,5969
51,n8,남천,1959,5848
52,n2,q삼족오p,853,5825
53,n10,평화의행진곡,1571,5705
54,n25,좀이쁜닉네임,1699,5652
55,n3,헤차니스a,860,5561
56,n2,작열,759,5475
57,n10,LakShmi,1571,5416
58,n10,한나수이,649,5248
59,n4,천사사랑3,759,5234
60,n10,버닝조련1,923,5142
61,n1,바른말고운말,1401,4813
62,n8,dfsfsgferw,781,4808
63,n9,적중100퍼,781,4808
64,n16,못난이님,1346,4629
65,n23,금모으기운동,1603,4615
66,n7,천천히크는사람,1281,4596
67,n8,어르신,964,4584
68,n2,Celebrity,1621,4551
69,n10,푸른달의마녀,344,4452
70,n4,s세라s,1900,4427
71,n20,찰슨_메,1929,4412
72,n8,유티,1418,4362
73,n20,지메,1586,4322
74,n6,인자무인,708,4304
75,n0,s가을동화s,792,4298
76,n18,단건우,1564,4264
77,n23,지크하트,1592,4161
78,n19,사랑의인사,1865,4159
79,n8,너랭이,1422,4152
80,n8,눈꽃의희야,1272,4135
81,n0,은하계수리공,657,4037
82,n10,o여름향기o,846,3961
83,n13,이뮨,1570,3939
84,n0,투옵,828,3867
85,n9,강한_,1616,3825
86,n10,사랑은유죄,904,3810
87,n16,IlIl레이지lIIl,931,3781
88,n7,레전더리,1501,3765
89,n13,정화목,938,3744
90,n19,쥬금이_수,1613,3737
91,n1,핼리해성,1442,3712
92,n13,보라3,810,3704
93,n10,재키찬75,745,3645
94,n1,무한사신,234,3625
95,n7,붉은보석을훔친자,885,3571
96,n0,보석전사,726,3547
97,n2,Izzy,1500,3475
98,n18,채륜,1506,3469
99,n16,메인모을거야,1470,3439
100,n7,숫찰떡,1577,3392
