,職業,キャラクター,レベル,ポイント
1,n9,Deadly,1436,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1891,21765
4,n10,운좋은고양이,2004,18195
5,n1,Guan_Yu,1459,16425
6,n13,오리,2010,16358
7,n7,_천상,1109,15355
8,n8,민쏘쏘,2000,15309
9,n20,전여친,1832,14997
10,n22,물련금,1974,14157
11,n8,샤또지마,1922,13991
12,n6,와니천사,1892,13261
13,n10,v1p1최강의조련사,882,13075
14,n24,얌시선장,2000,12857
15,n7,금돌,2006,12813
16,n14,마악마,1976,12310
17,n3,지옥불_,1917,12046
18,n7,기억해사랑해,1262,11740
19,n0,운정리파괴자,2003,11722
20,n4,인생_콜전용,1714,11597
21,n0,산타루치노,1998,11552
22,n8,스마트무빙,1985,11257
23,n8,maya,921,11136
24,n2,리트군,1304,10991
25,n0,헤독,2009,10750
26,n12,S2조자룡,1411,10306
27,n7,묵꼼,1844,9808
28,n8,vvvvvvvvvvvvv,1747,9647
29,n9,나를찾지마,2008,9588
30,n2,SeungEE,1979,9434
31,n8,이치키,2006,9362
32,n8,HOOT,2007,9325
33,n3,파이오니아,1840,9260
34,n19,사학광학사,1391,9233
35,n4,무드리치,2000,9186
36,n20,MILKMAID,1927,9096
37,n8,아려니,2006,8841
38,n3,버닝12,1894,8735
39,n0,화이어,708,8600
40,n0,없노,1793,8589
41,n19,길선미,2012,8572
42,n13,반짝반짝작은별,1917,8549
43,n20,유이퐁,1959,8395
44,n9,가행건부,1772,8390
45,n4,삿제,1344,8379
46,n9,Hwal,1768,8231
47,n8,지긋이창,1988,8120
48,n24,부선장,1340,8081
49,n22,리퍼지크,2013,7953
50,n23,돌아온연금,2000,7921
51,n6,투컷,1279,7888
52,n2,감자고구마,2008,7751
53,n7,명량해전,2002,7610
54,n8,Lo또,1944,7558
55,n0,배스낚시,1473,7428
56,n20,SolarFlare,2000,7409
57,n6,깐지데쓰,899,7313
58,n13,주공주,1358,7167
59,n2,오사카_유니버셜,1366,7129
60,n21,핼버드,1683,7071
61,n9,귓볼탱탱,1407,7023
62,n0,하늘이다,905,7020
63,n2,천상마법지존,774,6904
64,n7,잇섭,1921,6884
65,n4,1____M,1919,6863
66,n8,페르파,1809,6774
67,n12,춰콜릿,1892,6708
68,n16,씽긋,1745,6700
69,n14,효됴르원펀치,1384,6693
70,n9,여교사,1702,6638
71,n8,양갱수리,2000,6604
72,n19,오랜방황의끝,1981,6599
73,n23,Gift_,1922,6565
74,n19,리정인,2000,6407
75,n9,신민아이유인나,1812,6389
76,n13,너키,1934,6387
77,n6,리치골드,601,6310
78,n19,너랭이,1988,6263
79,n23,앙금술사,2000,6198
80,n8,최서린,2000,6108
81,n4,선비타천,1262,6095
82,n14,리촹,1925,6070
83,n8,유로폼,2003,6062
84,n20,일단믿어봐,1730,5992
85,n8,한우육회,1864,5969
86,n20,뱌이,1981,5946
87,n4,무기없는잇터님,2007,5944
88,n14,결제가아니라결재,1989,5928
89,n20,서하엘,1904,5910
90,n1,넌내꼬,1295,5858
91,n16,뛰낀,1840,5823
92,n1,Trudy,1918,5762
93,n9,보찌,1918,5707
94,n8,스카이부동산,1918,5693
95,n6,오I톨0l,873,5692
96,n8,운좋지마,2003,5666
97,n7,모다모다,2000,5661
98,n12,얘린,1794,5659
99,n2,나는농부입니다,1870,5650
100,n7,김이준,1782,5648
