,職業,キャラクター,レベル,ポイント
1,n8,Deadly,1448,34160
2,n8,다누리,1835,22973
3,n2,뉴삼총사,1893,21784
4,n10,운좋은고양이,2013,20260
5,n13,오리,2025,19811
6,n1,Guan_Yu,1459,16425
7,n20,전여친,1928,15920
8,n7,_천상,1113,15355
9,n8,민쏘쏘,2000,15309
10,n22,물련금,2000,15072
11,n24,얌시선장,2000,14223
12,n8,샤또지마,1950,14097
13,n0,운정리파괴자,2011,13664
14,n0,산타루치노,2011,13639
15,n6,와니천사,1912,13622
16,n14,마악마,2000,13413
17,n10,v1p1최강의조련사,882,13075
18,n7,금돌,2007,12854
19,n8,이치키,2022,12794
20,n3,지옥불_,1927,12256
21,n7,기억해사랑해,1262,11740
22,n19,길선미,2025,11716
23,n8,HOOT,2011,11704
24,n4,인생_콜전용,1714,11597
25,n0,헤독,2017,11416
26,n22,리퍼지크,2030,11377
27,n8,스마트무빙,1985,11257
28,n8,maya,922,11136
29,n2,리트군,1304,10991
30,n7,잇섭,2013,10568
31,n9,나를찾지마,2011,10306
32,n12,S2조자룡,1411,10306
33,n2,SeungEE,2000,10093
34,n7,묵꼼,1844,9810
35,n8,아려니,2012,9798
36,n3,파이오니아,1888,9790
37,n2,감자고구마,2021,9728
38,n3,버닝12,1919,9705
39,n8,vvvvvvvvvvvvv,1747,9647
40,n19,사학광학사,1426,9595
41,n20,유이퐁,1998,9502
42,n20,MILKMAID,1951,9305
43,n4,무드리치,2000,9186
44,n0,없노,1799,8923
45,n8,Lo또,1977,8922
46,n9,Hwal,1782,8907
47,n0,화이어,708,8600
48,n8,지긋이창,2000,8567
49,n13,반짝반짝작은별,1917,8549
50,n7,명량해전,2009,8536
51,n9,가행건부,1772,8390
52,n4,삿제,1344,8379
53,n8,보찌,2005,8337
54,n16,바라코스,2023,8308
55,n0,배스낚시,1495,8122
56,n25,부선장,1340,8081
57,n15,리촹,2001,7999
58,n20,웅치킨,2006,7990
59,n9,귓볼탱탱,1436,7981
60,n20,뱌이,2005,7932
61,n23,돌아온연금,2000,7921
62,n6,투컷,1279,7888
63,n8,스카이부동산,1983,7864
64,n13,주공주,1385,7722
65,n8,한우육회,1941,7593
66,n20,지죤,1985,7527
67,n23,Gift_,1957,7526
68,n14,결제가아니라결재,2011,7432
69,n20,SolarFlare,2000,7409
70,n8,유로폼,2008,7401
71,n8,시옷,2008,7354
72,n13,너키,2000,7330
73,n6,깐지데쓰,899,7313
74,n19,오랜방황의끝,2000,7250
75,n14,효됴르원펀치,1391,7250
76,n22,슈퍼파워연금,1812,7233
77,n22,탄알일발장전,1970,7199
78,n20,서하엘,1959,7182
79,n1,Trudy,1955,7143
80,n2,오사카_유니버셜,1366,7129
81,n24,망침,2009,7103
82,n21,핼버드,1683,7071
83,n0,하늘이다,905,7020
84,n19,너랭이,2005,7014
85,n20,등치,2003,6961
86,n2,천상마법지존,774,6904
87,n4,1____M,1926,6886
88,n8,페르파,1809,6774
89,n9,여교사,1728,6764
90,n2,망파,1807,6729
91,n12,춰콜릿,1892,6708
92,n16,씽긋,1745,6700
93,n4,웅드리치,1998,6646
94,n4,무기없는잇터님,2013,6626
95,n8,양갱수리,2000,6604
96,n10,빠칸,2000,6518
97,n4,튼실,2000,6414
98,n19,리정인,2000,6407
99,n9,신민아이유인나,1812,6389
100,n6,리치골드,601,6310
