,職業,キャラクター,レベル,ポイント
1,n5,DEVAIN,1340,13875
2,n8,inta,1280,7329
3,n20,마스펠,1742,6726
4,n6,흑염룡,1419,6300
5,n18,배꼽,1977,5854
6,n8,이망,1981,5244
7,n21,2MORO,1500,4666
8,n2,선임,1874,4596
9,n12,버베나,1502,3788
10,n23,Deft,1402,3492
11,n20,꺄세,2000,3362
12,n2,IIllllllllllIlll,1403,3330
13,n23,백관,1301,3143
14,n6,떠돌이_,554,2856
15,n20,또릉이,1526,2805
16,n18,큐이,1410,2750
17,n6,셀리,426,2642
18,n8,이준석,1986,2462
19,n6,공쥬님,869,2413
20,n7,고구마망,1528,2407
21,n12,넝쿨이,1304,2382
22,n4,활주,1281,2359
23,n19,웨여,1746,2213
24,n2,제이비,1182,2206
25,n7,티누,1004,2205
26,n0,Slayer,1399,2163
27,n16,비_일오,1281,1916
28,n16,Haul,2000,1891
29,n12,RaonLee,1253,1870
30,n4,TURN,1272,1852
31,n20,도레미파,2006,1839
32,n0,버키,1250,1753
33,n1,하정우,1341,1749
34,n10,Bartizan,1615,1722
35,n3,다멜잉,1290,1705
36,n13,변신소녀님,1205,1681
37,n12,수기리,2008,1605
38,n20,메이커,1437,1593
39,n8,은영,1374,1581
40,n8,비프리즈,1325,1573
41,n7,빈둥,1979,1510
42,n0,칼전니크당,882,1503
43,n13,파벨,1257,1487
44,n2,역살,1252,1475
45,n21,수라a,1157,1441
46,n19,__수인,1182,1433
47,n9,이더리움코인,1328,1432
48,n8,SiegeGun,1186,1419
49,n20,YOLOMAID,1362,1394
50,n8,유나영,1216,1377
51,n1,한겨레,1337,1360
52,n21,나빌레라,1509,1309
53,n0,maze_red,1803,1277
54,n11,또식소환,1294,1262
55,n2,전설,1337,1259
56,n1,Lipton,1252,1225
57,n20,티몰2,1642,1218
58,n9,lolol,1245,1207
59,n1,크고아름다운검,1453,1205
60,n7,투후룰루,1813,1201
61,n8,젤리삐,1087,1183
62,n8,삼미리,922,1155
63,n18,__형,1300,1130
64,n0,예뻐,135,1108
65,n0,곽명훈,1198,1107
66,n4,김포,1550,1103
67,n2,콜드브루,1289,1093
68,n9,오로치,1265,1084
69,n8,워버러버덥덥,1088,1075
70,n19,참외배꼽,1410,1053
71,n6,Vayne,676,1047
72,n13,덜렁,1250,1019
73,n20,__09,1075,1017
74,n16,WonderWoman,958,1006
75,n24,Aimyon,1317,1002
76,n9,천년용왕,404,1000
77,n9,평정,1318,996
78,n8,달빛에지는혼,1142,987
79,n4,쏘럭,1315,983
80,n24,뽀스,1412,964
81,n19,언더단속반,1546,963
82,n22,박하람,1344,955
83,n7,낭천,1269,945
84,n1,곰슬기,1254,940
85,n23,너굴이,1222,938
86,n6,한야,1297,930
87,n21,풀림,1332,897
88,n2,Sona,703,897
89,n2,음속,1104,890
90,n6,갈증,1204,884
91,n2,기호,1503,878
92,n6,일월이,619,876
93,n2,지휘관,1147,873
94,n5,Soraka,698,872
95,n7,카심,1336,870
96,n8,티몰1,1502,868
97,n8,수기광호,1281,862
98,n7,소울가드,1969,857
99,n13,Lulu,677,848
100,n1,Squire,928,844
