1位,,夜桜会,雪の姉,9661780
2位,,ぬ゛,マサマサs,9655260
3位,,高原組,†ユファ†,0
4位,,☆安心できる憩いの場☆,御一人様チリソー,0
5位,,†天空の時計塔†,Love_again,0
6位,,旅の途中,戎瓔花,0
7位,,２８組,ちゃらめる,0
8位,,以心伝心,†大和なでし子,0
9位,,エターナルフリーダム,はまっこ大将,0
10位,,彩なき風の子守唄,ゆんの助,0
11位,,いちご,§LECO§,0
12位,,ギニュー特戦隊,アスタロト公爵’,0
13位,,HeiligerRitter,矛盾なサブ1,0
14位,,ひよこ戦隊赤レンジャー,グンドュラ・ラル,0
15位,,紫龍会,xアゲハx,0
16位,,くらえー！邪王炎殺こｋ,全力ご奉仕ナース,0
17位,,noche,☆カフェラッテ☆,0
18位,,【BlueBox】,☆TON80☆,0
19位,,ラオス共和国,根津甚八β,0
20位,,OrangeDays,ゆいにゃ,0
21位,,☆さまなーず☆,くるる♪,0
22位,,プリンセス,薄紅天女,0
23位,,うさみふぁみりぃ,☆ロッキー２☆,0
24位,,CloseFriends,☆夏子☆,0
25位,,NBAライブ,～ハワイアン～,0
26位,,☆ラスプーチン☆,さきささ,0
27位,,ピアノの森,殺ったるキング。,0
1位,,ロンド＝ベル,レヴィア。,9660070
2位,,アルパス暴れ隊,屍妙雲比呂彦,9635670
3位,,星の夢,Matlab,431920
4位,,Eginbear,asew2,0
5位,,チームＧＩＬ,けんＺ,0
6位,,Ciel_nosurge,天穿,0
7位,,～☆星達の庭園☆～,姫1号,0
8位,,「3号館の住人達☆」,∮黒船∮,0
9位,,†Dragon_Castle†,やゆうだい,0
10位,,FREIHEIT,ブランマンジェ,0
11位,,小さな幸せ,孅い,0
12位,,Siropuと愉快な探検家,ＭＡＬＴＩ,0
13位,,馬車馬中隊,天日槍,0
14位,,ブルン王国騎士団,moma,0
15位,,Adiots,夜虚,0
16位,,またーり,姫DEｱﾘﾝｽ,0
17位,,Spiral　Heartｓ,ペネトレイト,0
18位,,ワルキューレ,双極龍,0
19位,,ホエ～豚,八代将軍５,0
20位,,ラッキー軍団,むこ殿,0
21位,,ラッキー☆スター,ﾓｼﾞﾓｼﾞ,0
22位,,笑う門には福きたる,アーリエス,0
23位,,MheShiArmy,癒しのガンダルフ,0
24位,,国際救助隊,朱雀石,0
25位,,DOLCE,えんちゃん,0
26位,,レッドサファイア,ジオペリア,0
27位,,Burning_Angel_Wings,あーするﾍﾞﾃｨ,0
28位,,Brotherhood,メメントモリ,0
29位,,おもちゃの缶詰,シエン,0
30位,,∫インテグラル∫,たわあ,0
