,-,職業,キャラクター,レベル,転生回数
1,-,,ともたん333,671,15
2,-,,たいやきあんこ,1840,5
3,-,,ψXENOψ,1837,5
4,-,,アリス・ワンダー,1836,5
5,-,,レジェンド石橋,1834,5
6,-,,ハイドシークス,1831,5
7,-,,☆あおり☆,1831,5
8,-,,二階堂パンパース,1829,5
9,-,,mttt,1828,5
10,-,,思いやりGDX,1827,5
11,-,,れもんψ,1826,5
12,-,,ζhaluluζ,1823,5
13,-,,＊鬼鮫＊,1823,5
14,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1823,5
15,-,,ｱﾆﾘｿ,1821,5
16,-,,ろずこ,1821,5
17,-,,キングプー,1820,5
18,-,,快活ねえさん,1819,5
19,-,,krisu,1814,5
20,-,,愛泉,1814,5
21,-,,Oddesy,1810,5
22,-,,戦略破壊魔術兵器,1807,5
23,-,,うにゃDX,1807,5
24,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1806,5
25,-,,アバブ,1806,5
26,-,,marui11111,1806,5
27,-,,カジュアル,1804,5
28,-,,サクラサケ,1804,5
29,-,,ラクサスドレアン,1804,5
30,-,,ルベーグ2世,1803,5
31,-,,御暇さん,1803,5
32,-,,ﾌｪﾘｱ,1803,5
33,-,,ウリ☆,1803,5
34,-,,ξスロウξ,1802,5
35,-,,アクシズ教神官,1802,5
36,-,,たっぷ。,1802,5
37,-,,腐敗キノコ,1801,5
38,-,,黒虎ちゃん,1801,5
39,-,,ちぇころん,1800,5
40,-,,しらすたっぷ。,1800,5
41,-,,Hard_A,1800,5
42,-,,nonamealcemist,1800,5
43,-,,Luvric_ver0,1800,5
44,-,,ああ播磨灘,1790,5
45,-,,shogi,1789,5
46,-,,†LightSide†,1789,5
47,-,,†フィル†,1788,5
48,-,,ずっさん,1785,5
49,-,,猫邪,1782,5
50,-,,元団長さん,1780,5
