,-,職業,キャラクター,レベル,転生回数
1,-,,ともたん333,671,15
2,-,,たいやきあんこ,1833,5
3,-,,ψXENOψ,1831,5
4,-,,二階堂パンパース,1828,5
5,-,,mttt,1826,5
6,-,,レジェンド石橋,1826,5
7,-,,アリス・ワンダー,1825,5
8,-,,☆あおり☆,1822,5
9,-,,ハイドシークス,1821,5
10,-,,ｱﾆﾘｿ,1820,5
11,-,,ζhaluluζ,1818,5
12,-,,思いやりGDX,1816,5
13,-,,＊鬼鮫＊,1814,5
14,-,,krisu,1812,5
15,-,,れもんψ,1808,5
16,-,,ろずこ,1806,5
17,-,,うにゃDX,1806,5
18,-,,marui11111,1804,5
19,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1803,5
20,-,,快活ねえさん,1803,5
21,-,,ルベーグ2世,1802,5
22,-,,キングプー,1801,5
23,-,,ラクサスドレアン,1800,5
24,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1800,5
25,-,,アバブ,1800,5
26,-,,腐敗キノコ,1800,5
27,-,,しらすたっぷ。,1794,5
28,-,,サクラサケ,1793,5
29,-,,御暇さん,1792,5
30,-,,ﾌｪﾘｱ,1790,5
31,-,,shogi,1788,5
32,-,,Oddesy,1788,5
33,-,,愛泉,1788,5
34,-,,nonamealcemist,1784,5
35,-,,戦略破壊魔術兵器,1783,5
36,-,,元団長さん,1779,5
37,-,,Hard_A,1778,5
38,-,,ああ播磨灘,1777,5
39,-,,Luvric_ver0,1777,5
40,-,,たっぷ。,1776,5
41,-,,ちぇころん,1771,5
42,-,,やまCha☆,1766,5
43,-,,ξスロウξ,1764,5
44,-,,errr,1763,5
45,-,,ずっさん,1757,5
46,-,,†LightSide†,1757,5
47,-,,マハーデーヴィー,1755,5
48,-,,羽熊,1755,5
49,-,,☆☆うっちぃ☆☆,1755,5
50,-,,グライムズ01,1754,5
