,-,職業,キャラクター,レベル,転生回数
1,-,,カマキリ令嬢,2034,5
2,-,,UnBiR,2034,5
3,-,,りんじょー,2031,5
4,-,,ぷーちゃん♪,2030,5
5,-,,狼輝,2030,5
6,-,,シル星,2026,5
7,-,,甘栗うっまW,2024,5
8,-,,ｂｏｗ‐ｗｏｗ,2022,5
9,-,,野獣パイセン,2022,5
10,-,,sunafu,2020,5
11,-,,＋カイト＋,2016,5
12,-,,Narmaya,2016,5
13,-,,あざといたぬき,2015,5
14,-,,§エス§,2015,5
15,-,,おーいえ,2014,5
16,-,,ψ七ちψ,2013,5
17,-,,DXUキャプテンUSA,2011,5
18,-,,瑞穂りん,2011,5
19,-,,愛犬サクラ,2005,5
20,-,,【ポッセ】,2004,5
21,-,,アーリア。,2004,5
22,-,,しらたま団子ＬＬ,2004,5
23,-,,お～い恋茶,2004,5
24,-,,ループド,2003,5
25,-,,おぃ、止まれ！？,2003,5
26,-,,みどり先輩,2003,5
27,-,,†卍キリト卍†,2003,5
28,-,,タメヴィアータ。,2002,5
29,-,,癒し天使猫姫♂,2002,5
30,-,,〝AIO〟,2002,5
31,-,,ぼのの,2002,5
32,-,,とろっとろ牛すじ,2002,5
33,-,,大動脈瘤,2001,5
34,-,,legel,2001,5
35,-,,琥炭,2001,5
36,-,,なーりー,2001,5
37,-,,ILLEXECUTION,2001,5
38,-,,わかるw,2001,5
39,-,,鷸榧,2001,5
40,-,,どどぴゅん子,2001,5
41,-,,長谷川千雨,2000,5
42,-,,弓兵頭,2000,5
43,-,,ひまじん,2000,5
44,-,,セルフサービス,2000,5
45,-,,狼獄,2000,5
46,-,,みゅうごろう,2000,5
47,-,,ねこみみ弐号,2000,5
48,-,,ばくちち朱絹,2000,5
49,-,,あなたのハートに,2000,5
50,-,,Oxyride,2000,5
