,-,職業,キャラクター,レベル,転生回数
1,-,,ψXENOψ,2000,5
2,-,,たいやきあんこ,2000,5
3,-,,mttt,2000,5
4,-,,アリス・ワンダー,1948,5
5,-,,カジュアル,1936,5
6,-,,ラクサスドレアン,1933,5
7,-,,快活ねえさん,1925,5
8,-,,レジェンド石橋,1924,5
9,-,,思いやりGDX,1920,5
10,-,,Oddesy,1919,5
11,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1918,5
12,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1910,5
13,-,,しらすたっぷ。,1910,5
14,-,,二階堂パンパース,1910,5
15,-,,アクシズ教神官,1907,5
16,-,,御暇さん,1906,5
17,-,,猫邪,1906,5
18,-,,れもんψ,1902,5
19,-,,蜜月抄,1895,5
20,-,,あぷりこ,1891,5
21,-,,xたまきちx,1890,5
22,-,,愛泉,1886,5
23,-,,krisu,1881,5
24,-,,うにゃDX,1880,5
25,-,,＊鬼鮫＊,1875,5
26,-,,ハイドシークス,1866,5
27,-,,ろずこ,1863,5
28,-,,ﾌｪﾘｱ,1863,5
29,-,,Miki_,1859,5
30,-,,ほしめろちゃん,1858,5
31,-,,サイバーナイト,1857,5
32,-,,☆キノ♪,1856,5
33,-,,marui11111,1852,5
34,-,,むぎちゃ。,1848,5
35,-,,キングプー,1845,5
36,-,,永遠の暗闇,1844,5
37,-,,ｱﾆﾘｿ,1844,5
38,-,,戦略破壊魔術兵器,1843,5
39,-,,黒虎ちゃん,1841,5
40,-,,☆あおり☆,1840,5
41,-,,ルベーグ2世,1838,5
42,-,,shogi,1836,5
43,-,,†フィル†,1835,5
44,-,,ああ播磨灘,1835,5
45,-,,VR戦士,1830,5
46,-,,ねこなのクゥーン,1829,5
47,-,,ξスロウξ,1826,5
48,-,,ちゃらめる,1825,5
49,-,,ζhaluluζ,1823,5
50,-,,Hard_A,1822,5
