,-,職業,キャラクター,レベル,転生回数
1,-,,ぷーちゃん♪,2000,5
2,-,,愛犬サクラ,1967,5
3,-,,しらたま団子ＬＬ,1963,5
4,-,,おーいえ,1961,5
5,-,,狼輝,1958,5
6,-,,カマキリ令嬢,1957,5
7,-,,UnBiR,1945,5
8,-,,アーリア。,1937,5
9,-,,とろっとろ牛すじ,1936,5
10,-,,りんじょー,1925,5
11,-,,お～い恋茶,1924,5
12,-,,ループド,1919,5
13,-,,シル星,1912,5
14,-,,DXUキャプテンUSA,1905,5
15,-,,らっきーよだすけ,1899,5
16,-,,yamada3000,1893,5
17,-,,ﾙﾙｰｼｭ・ﾗﾝﾍﾟﾙｰｼﾞ,1892,5
18,-,,レバナス父ちゃん,1889,5
19,-,,darkfy,1888,5
20,-,,katsuxxx,1886,5
21,-,,あなたのハートに,1883,5
22,-,,みゅうごろう,1881,5
23,-,,あざといたぬき,1880,5
24,-,,＋カイト＋,1876,5
25,-,,鷸榧,1875,5
26,-,,弓兵頭,1874,5
27,-,,獣☆ホブス,1873,5
28,-,,§エス§,1867,5
29,-,,〝AIO〟,1866,5
30,-,,【ポッセ】,1865,5
31,-,,伊勢七海,1863,5
32,-,,ねこみみ弐号,1858,5
33,-,,狛狗,1853,5
34,-,,メリデ♪,1851,5
35,-,,ひさめっち,1851,5
36,-,,Narmaya,1849,5
37,-,,捨ノ型・生生流転,1845,5
38,-,,Amstel,1844,5
39,-,,たこち,1838,5
40,-,,ぼのの,1835,5
41,-,,さなっしー,1833,5
42,-,,9rpm,1833,5
43,-,,covid,1832,5
44,-,,趣味は・・・矢,1830,5
45,-,,風の歌,1827,5
46,-,,ボイン姉ちゃん,1826,5
47,-,,MariaDB,1818,5
48,-,,光のボウリング,1812,5
49,-,,ｂｏｗ‐ｗｏｗ,1811,5
50,-,,アルミノ,1807,5
