,-,職業,キャラクター,レベル,転生回数
1,-,,mttt,2032,5
2,-,,永遠の暗闇,2031,5
3,-,,カカオ零,2030,5
4,-,,vellr1a,2030,5
5,-,,ΨtinariΨ,2029,5
6,-,,対立ちゃん,2026,5
7,-,,骨ラーメン☆,2025,5
8,-,,krisu,2023,5
9,-,,ドカ食い気絶部,2020,5
10,-,,サイバーナイト,2018,5
11,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2016,5
12,-,,マゼ・ドレーク,2016,5
13,-,,KUREHA_GtS,2015,5
14,-,,うにゃDX,2014,5
15,-,,たいやきあんこ,2013,5
16,-,,ﾌｪﾘｱ,2012,5
17,-,,甘酒ココア,2012,5
18,-,,hanacyan,2011,5
19,-,,ずっさん,2010,5
20,-,,思いやりGDX,2010,5
21,-,,ウリ☆,2010,5
22,-,,ちよし姫,2010,5
23,-,,ψXENOψ,2009,5
24,-,,ちゃらめる,2009,5
25,-,,ﾛｰﾈﾙ,2009,5
26,-,,もぐらⅲ,2007,5
27,-,,ろずこ,2006,5
28,-,,HGRY,2006,5
29,-,,マハーデーヴィー,2006,5
30,-,,marui11111,2006,5
31,-,,FILIBUSTER,2006,5
32,-,,ξスロウξ,2005,5
33,-,,あまぞねす。,2005,5
34,-,,ほしめろちゃん,2005,5
35,-,,アクシズ教神官,2004,5
36,-,,黒虎ちゃん,2004,5
37,-,,ああ播磨灘,2004,5
38,-,,アリス・ワンダー,2004,5
39,-,,lave｡,2004,5
40,-,,にゃ～ん（笑）,2004,5
41,-,,Bird_of_Hermes,2004,5
42,-,,純燼,2004,5
43,-,,うなぎ。,2004,5
44,-,,らびゅりんす,2004,5
45,-,,_とろ_,2003,5
46,-,,＊鬼鮫＊,2003,5
47,-,,☆キノ♪,2003,5
48,-,,♯夕さま,2003,5
49,-,,てっぷ。,2003,5
50,-,,Oddesy,2002,5
