,-,職業,キャラクター,レベル,転生回数
1,-,,ぷーちゃん♪,1821,5
2,-,,シル星,1800,5
3,-,,趣味は・・・矢,1793,5
4,-,,愛犬サクラ,1787,5
5,-,,カマキリ令嬢,1783,5
6,-,,おーいえ,1779,5
7,-,,狼輝,1775,5
8,-,,ヘーゼルナッツン,1773,5
9,-,,〝AIO〟,1767,5
10,-,,あなたのハートに,1761,5
11,-,,ｂｏｗ‐ｗｏｗ,1759,5
12,-,,お～い恋茶,1756,5
13,-,,おじろくん,1756,5
14,-,,＋カイト＋,1755,5
15,-,,さなっしー,1754,5
16,-,,捨ノ型・生生流転,1753,5
17,-,,アルミノ,1752,5
18,-,,狛狗,1751,5
19,-,,じみ～,1748,5
20,-,,katsuxxx,1746,5
21,-,,メリデ♪,1744,5
22,-,,トラウトサーモン,1743,5
23,-,,間衣華,1742,5
24,-,,UnBiR,1740,5
25,-,,☆ショップ☆,1737,5
26,-,,ﾙﾙｰｼｭ・ﾗﾝﾍﾟﾙｰｼﾞ,1736,5
27,-,,ranko_star,1733,5
28,-,,たこち,1733,5
29,-,,Amstel,1732,5
30,-,,アーリア。,1732,5
31,-,,弓兵頭,1731,5
32,-,,RelMayer,1730,5
33,-,,illest,1729,5
34,-,,ILLEXECUTION,1729,5
35,-,,狼獄,1728,5
36,-,,ちんき。,1728,5
37,-,,covid,1725,5
38,-,,君のﾊｰﾄにｽﾞｷｭﾝ,1725,5
39,-,,ﾙﾙｰｼｭ＜Ver3＞,1725,5
40,-,,9rpm,1723,5
41,-,,ループド,1723,5
42,-,,UltimateRAD,1719,5
43,-,,らっきーよだすけ,1718,5
44,-,,EinherjarAlbedo,1716,5
45,-,,つんで･れい,1715,5
46,-,,RAD大好き,1715,5
47,-,,双剣乱舞,1714,5
48,-,,ねこみみ弐号,1711,5
49,-,,EquilibrioAlba,1711,5
50,-,,swordko,1710,5
