,-,職業,キャラクター,レベル,転生回数
1,-,,カマキリ令嬢,2034,5
2,-,,UnBiR,2033,5
3,-,,狼輝,2030,5
4,-,,りんじょー,2030,5
5,-,,ぷーちゃん♪,2029,5
6,-,,シル星,2025,5
7,-,,野獣パイセン,2022,5
8,-,,sunafu,2016,5
9,-,,Narmaya,2016,5
10,-,,ｂｏｗ‐ｗｏｗ,2015,5
11,-,,あざといたぬき,2015,5
12,-,,おーいえ,2014,5
13,-,,甘栗うっまW,2012,5
14,-,,DXUキャプテンUSA,2011,5
15,-,,瑞穂りん,2010,5
16,-,,§エス§,2009,5
17,-,,ψ七ちψ,2009,5
18,-,,愛犬サクラ,2005,5
19,-,,アーリア。,2004,5
20,-,,【ポッセ】,2004,5
21,-,,しらたま団子ＬＬ,2004,5
22,-,,お～い恋茶,2004,5
23,-,,＋カイト＋,2003,5
24,-,,ループド,2003,5
25,-,,おぃ、止まれ！？,2003,5
26,-,,癒し天使猫姫♂,2002,5
27,-,,〝AIO〟,2002,5
28,-,,ぼのの,2002,5
29,-,,とろっとろ牛すじ,2002,5
30,-,,みどり先輩,2002,5
31,-,,なーりー,2001,5
32,-,,ILLEXECUTION,2001,5
33,-,,わかるw,2001,5
34,-,,どどぴゅん子,2001,5
35,-,,長谷川千雨,2000,5
36,-,,弓兵頭,2000,5
37,-,,ひまじん,2000,5
38,-,,セルフサービス,2000,5
39,-,,狼獄,2000,5
40,-,,みゅうごろう,2000,5
41,-,,ねこみみ弐号,2000,5
42,-,,ばくちち朱絹,2000,5
43,-,,あなたのハートに,2000,5
44,-,,Oxyride,2000,5
45,-,,からふるぱすてる,2000,5
46,-,,狼妃,2000,5
47,-,,大動脈瘤,2000,5
48,-,,legel,2000,5
49,-,,タメヴィアータ。,2000,5
50,-,,追跡なう,2000,5
