,サマナー,ぷーちゃん♪,1500,5
2位,,追放天使,狼輝,1489,5
3位,,ランサー,ワユ,1482,5
4位,,アーチャー,さなっしー,1472,5
5位,,アーチャー,趣味は・・・矢,1466,5
6位,,黒魔術師,アーリア。,1465,5
7位,,霊術師,ちんき。,1463,5
8位,,闘士,あなたのハートに,1460,5
9位,,剣士,RAD大好き,1454,5
10位,,プリンセス,Le・Ciel,1453,5
11位,,獣人,ｹﾓ蔵,1452,5
12位,,剣士,地方都市のﾒﾒﾝﾄﾓﾘ,1452,5
13位,,剣士,AnotherOrion,1452,5
14位,,光奏師,解離,1450,5
15位,,武道家,岡部_誠,1448,5
16位,,アーチャー,くりゅ,1444,5
17位,,黒魔術師,￡Gazelle,1442,5
18位,,ネクロマンサー,えんまねこ,1441,5
19位,,ランサー,わかまつあいな,1439,5
20位,,プリンセス,やっくる♪,1438,5
21位,,戦士,コボルト秘密ULT,1435,5
22位,,アルケミスト,ゆゆたそ,1433,5
23位,,光奏師,tantan_13,1433,5
24位,,霊術師,舞牡丹,1431,5
25位,,武道家,暇潰＠引退,1431,5
26位,,プリンセス,未美凛,1430,5
27位,,ランサー,狗神めありー,1430,5
28位,,アルケミスト,tantan_01,1429,5
29位,,武道家,さらまんだーγ,1426,5
30位,,ウィザード,9rpm,1426,5
31位,,霊術師,鬼一家の霊術師,1422,5
32位,,ランサー,藤井聡太,1422,5
33位,,アーチャー,＄神様家族＄,1421,5
34位,,武道家,ヒャム,1421,5
35位,,ランサー,紙ねろ,1420,5
36位,,アーチャー,システィール,1419,5
37位,,ランサー,バジル・ユバ,1418,5
38位,,ランサー,愛犬サクラ,1417,5
39位,,追放天使,究ﾎﾟ極ｲ完ﾎﾟ全ｲ体,1417,5
40位,,黒魔術師,メロメロイド,1416,5
41位,,霊術師,カマキリ令嬢,1411,5
42位,,武道家,はちみつ。,1411,5
43位,,アルケミスト,きれのじろう,1410,5
44位,,霊術師,ボイン姉ちゃん,1406,5
45位,,戦士,餅の･∀･凍結,1406,5
46位,,武道家,神風の隼,1405,5
47位,,ランサー,〝AIO〟,1404,5
48位,,闘士,☆よなぐに☆,1403,5
49位,,シーフ,セっツ,1402,5
50位,,ランサー,ラッキーやなすけ,1401,5
51位,,戦士,じみ～,1401,5
52位,,リトルウィッチ,岡部誠∵,1400,5
