,-,職業,キャラクター,レベル,転生回数
1,-,,カジュアル,2000,5
2,-,,krisu,2000,5
3,-,,ラクサスドレアン,2000,5
4,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2000,5
5,-,,ψXENOψ,2000,5
6,-,,たいやきあんこ,2000,5
7,-,,mttt,2000,5
8,-,,レジェンド石橋,2000,5
9,-,,アリス・ワンダー,2000,5
10,-,,xたまきちx,2000,5
11,-,,思いやりGDX,1999,5
12,-,,marui11111,1998,5
13,-,,Oddesy,1994,5
14,-,,うにゃDX,1989,5
15,-,,蜜月抄,1984,5
16,-,,Miki_,1982,5
17,-,,あぷりこ,1981,5
18,-,,快活ねえさん,1979,5
19,-,,ハイドシークス,1975,5
20,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1969,5
21,-,,＊鬼鮫＊,1963,5
22,-,,愛泉,1962,5
23,-,,御暇さん,1954,5
24,-,,ルベーグ2世,1952,5
25,-,,ﾌｪﾘｱ,1952,5
26,-,,ウリ☆,1952,5
27,-,,猫邪,1952,5
28,-,,サイバーナイト,1951,5
29,-,,アクシズ教神官,1949,5
30,-,,ほしめろちゃん,1943,5
31,-,,ちよし姫,1935,5
32,-,,腐敗キノコ,1934,5
33,-,,ろずこ,1932,5
34,-,,氷華舞い散る,1931,5
35,-,,☆☆うっちぃ☆☆,1927,5
36,-,,ああ播磨灘,1922,5
37,-,,黒虎ちゃん,1920,5
38,-,,魔法姫ひかり,1920,5
39,-,,ふぇの,1917,5
40,-,,れもんψ,1915,5
41,-,,しらすたっぷ。,1915,5
42,-,,ΨtinariΨ,1915,5
43,-,,WaterLilyFlower,1913,5
44,-,,MVアグスタ,1913,5
45,-,,永遠の暗闇,1910,5
46,-,,二階堂パンパース,1910,5
47,-,,akmm,1903,5
48,-,,真ぜの,1903,5
49,-,,☆まろむぎ☆,1903,5
50,-,,戦略破壊魔術兵器,1899,5
