,-,職業,キャラクター,レベル,転生回数
1,-,,永遠の暗闇,2036,5
2,-,,mttt,2032,5
3,-,,骨ラーメン☆,2031,5
4,-,,ΨtinariΨ,2030,5
5,-,,カカオ零,2030,5
6,-,,対立ちゃん,2030,5
7,-,,vellr1a,2030,5
8,-,,サイバーナイト,2026,5
9,-,,_とろ_,2026,5
10,-,,KUREHA_GtS,2026,5
11,-,,甘酒ココア,2025,5
12,-,,krisu,2023,5
13,-,,†LightSide†,2023,5
14,-,,蜜月抄,2021,5
15,-,,ドカ食い気絶部,2020,5
16,-,,マゼ・ドレーク,2019,5
17,-,,ずっさん,2018,5
18,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,2018,5
19,-,,純燼,2017,5
20,-,,ﾌｪﾘｱ,2014,5
21,-,,HGRY,2014,5
22,-,,うにゃDX,2014,5
23,-,,ψXENOψ,2013,5
24,-,,たいやきあんこ,2013,5
25,-,,ああ播磨灘,2011,5
26,-,,hanacyan,2011,5
27,-,,あぷりこ,2010,5
28,-,,思いやりGDX,2010,5
29,-,,ウリ☆,2010,5
30,-,,ちよし姫,2010,5
31,-,,ちゃらめる,2009,5
32,-,,ﾛｰﾈﾙ,2009,5
33,-,,もぐらⅲ,2008,5
34,-,,あまぞねす。,2007,5
35,-,,ゆんの助,2007,5
36,-,,ほしめろちゃん,2007,5
37,-,,にゃ～ん（笑）,2007,5
38,-,,ろずこ,2006,5
39,-,,マハーデーヴィー,2006,5
40,-,,marui11111,2006,5
41,-,,FILIBUSTER,2006,5
42,-,,ξスロウξ,2005,5
43,-,,うなぎ。,2005,5
44,-,,ｱﾆﾘｿ,2004,5
45,-,,＊鬼鮫＊,2004,5
46,-,,アクシズ教神官,2004,5
47,-,,搾り汁1,2004,5
48,-,,Magic1an,2004,5
49,-,,黒虎ちゃん,2004,5
50,-,,アリス・ワンダー,2004,5
