,サマナー,ぷーちゃん♪,1452,5
2位,,ランサー,ワユ,1440,5
3位,,戦士,地方都市のﾒﾒﾝﾄﾓﾘ,1438,5
4位,,獣人,ｹﾓ蔵,1437,5
5位,,ビショップ,狼輝,1437,5
6位,,ランサー,狗神めありー,1427,5
7位,,プリンセス,Le・Ciel,1426,5
8位,,武道家,岡部_誠,1426,5
9位,,霊術師,舞牡丹,1424,5
10位,,霊術師,ちんき。,1419,5
11位,,アルケミスト,tantan_01,1417,5
12位,,プリンセス,未美凛,1417,5
13位,,黒魔術師,￡Gazelle,1416,5
14位,,ランサー,さなっしー,1416,5
15位,,武道家,暇潰,1415,5
16位,,闘士,あなたのハートに,1414,5
17位,,悪魔,えんまねこ,1414,5
18位,,ランサー,ニート太郎,1414,5
19位,,プリンセス,やっくる♪,1412,5
20位,,剣士,RAD大好き,1412,5
21位,,武道家,はちみつ。,1411,5
22位,,獣人,解離,1406,5
23位,,ランサー,わかまつあいな,1403,5
24位,,霊術師,ボイン姉ちゃん,1401,5
25位,,アーチャー,＄神様家族＄,1400,5
26位,,武道家,ヒャム,1400,5
27位,,戦士,コボルト秘密ULT,1400,5
28位,,霊術師,鬼一家の霊術師,1393,5
29位,,アルケミスト,きれのじろう,1392,5
30位,,黒魔術師,アーリア。,1391,5
31位,,霊術師,カマキリ令嬢,1390,5
32位,,ビショップ,シル星,1382,5
33位,,戦士,AnotherOrion,1382,5
34位,,ランサー,紙ねろ,1379,5
35位,,武道家,暇つぶ,1373,5
36位,,戦士,餅の･∀･凍結,1371,5
37位,,アーチャー,趣味は・・・矢,1370,5
38位,,武道家,さらまんだーγ,1370,5
39位,,ビショップ,素人僧侶ぽいぽい,1368,5
40位,,プリンセス,おつまみさん,1367,5
41位,,黒魔術師,メロメロイド,1365,5
42位,,ビショップ,こるてんし（仮）,1363,5
43位,,黒魔術師,闇卵,1356,5
44位,,シーフ,セっツ,1354,5
45位,,光奏師,tantan_13,1350,5
46位,,ウィザード,9rpm,1339,5
47位,,サマナー,みゅうごろう,1332,5
48位,,ランサー,べろちゅっちゅ,1330,5
49位,,ビーストテイマー,フウリン,1329,5
50位,,ランサー,バジル・ユバ,1325,5
51位,,シーフ,勃起,1312,5
52位,,メイド,つばきひめ,1310,5
53位,,追放天使,【ポッセ】,1304,5
54位,,シーフ,るてさん。,1303,5
55位,,剣士,DragonTwi☆ミ,1302,5
56位,,闘士,tantan_08,1300,5
57位,,アルケミスト,ゆゆたそ,1299,5
58位,,ウィザード,業者,1296,5
59位,,剣士,ﾄﾞﾔ顔の達人。,1293,5
60位,,武道家,legel,1291,5
61位,,ウィザード,MBMM１２,1291,5
62位,,剣士,わんくろ,1291,5
63位,,ランサー,くりゅ,1290,5
64位,,悪魔,濁湯馬鈴薯,1288,5
65位,,アーチャー,gurai,1283,5
66位,,シーフ,ぷいきゅあ～,1283,5
67位,,黒魔術師,鬼一家の黒魔,1281,5
68位,,ウィザード,star＠wiz,1281,5
69位,,武道家,ラカリフサの村長,1280,5
70位,,リトルウィッチ,Harmonie,1279,5
71位,,黒魔術師,いぼのじろう,1278,5
72位,,武道家,瓏蓮,1278,5
73位,,追放天使,真ﾉ天使（ｵﾄｺ）,1276,5
74位,,霊術師,ハープちゃん,1275,5
75位,,黒魔術師,狼妖,1274,5
76位,,武道家,sunafu,1270,5
77位,,アーチャー,システィール,1267,5
78位,,ランサー,chachami,1267,5
79位,,霊術師,ぶろんずごりら,1266,5
80位,,霊術師,芋がいい,1266,5
81位,,ランサー,ネオン♪゛,1263,5
82位,,アーチャー,Lanval,1260,5
83位,,ウィザード,創造神皇ダニエル,1260,5
84位,,シーフ,攻めがわ,1259,5
85位,,戦士,§Alexandrite§,1258,5
86位,,霊術師,狼闘,1257,5
87位,,光奏師,ゆゆちゃ,1256,5
88位,,獣人,PiPiPuRi,1255,5
89位,,アーチャー,微笑のテレサ,1255,5
90位,,追放天使,ServerDown,1255,5
91位,,リトルウィッチ,StoPBlTch,1254,5
92位,,ランサー,ｱｼﾝﾒﾄﾘｰ,1254,5
93位,,シーフ,towaco．,1254,5
94位,,プリンセス,鬼一家の姫,1252,5
95位,,ビーストテイマー,waspinator,1252,5
96位,,ウィザード,しゃいん･れい,1252,5
97位,,戦士,こるじょん,1252,5
98位,,獣人,UltimateRAD,1251,5
99位,,リトルウィッチ,みけぼん,1251,5
100位,,武道家,あとぅむ,1251,5
101位,,ランサー,ムロモン,1250,5
102位,,光奏師,kicky,1247,5
103位,,剣士,隴燐,1246,5
104位,,剣士,☆シグマワイ,1245,5
105位,,シーフ,＋カイト＋,1244,5
106位,,シーフ,ジェシ‐おいたん,1244,5
107位,,黒魔術師,ふに゜,1243,5
108位,,ランサー,peace。,1243,5
109位,,ランサー,藤井聡太,1242,5
110位,,武道家,うりゅうううう,1240,5
111位,,武道家,神風の隼,1239,5
112位,,アーチャー,ちょめ助,1238,5
113位,,ランサー,愛犬サクラ,1236,5
114位,,リトルウィッチ,お寿司4,1235,5
115位,,光奏師,一色菫,1234,5
116位,,アーチャー,ねこみみ弐号,1234,5
117位,,剣士,Asley_Cade,1234,5
118位,,ウィザード,イフリィート,1228,5
119位,,武道家,まるゴキ,1226,5
120位,,戦士,じみ～,1222,5
121位,,ウィザード,大動脈瘤,1221,5
122位,,霊術師,bakkyiii,1218,5
123位,,アーチャー,ﾛﾐｵ＆ｼﾞｭﾘｴｯﾄ,1217,5
124位,,ウィザード,Manstyle,1217,5
125位,,霊術師,ちんき２,1216,5
126位,,アーチャー,〝AIO〟,1216,5
127位,,シーフ,瞬影,1216,5
128位,,黒魔術師,日影アゲハ,1214,5
129位,,ランサー,～破幻～,1214,5
130位,,霊術師,ψ七ちψ,1212,5
131位,,武道家,カピカピのおもち,1212,5
132位,,獣人,四ツ矢丸,1211,5
133位,,黒魔術師,ヴァシリッサ,1210,5
134位,,獣人,狼煌,1210,5
135位,,ランサー,記録の地平線,1210,5
136位,,ランサー,シルスフィ,1209,5
137位,,獣人,べーやまぁ,1208,5
138位,,ランサー,弓兵頭,1208,5
139位,,ビーストテイマー,ういオレンジ,1207,5
140位,,獣人,山佐の獣撃,1205,5
141位,,プリンセス,蛍猫姫♪,1205,5
142位,,ランサー,ちはるちゃんん,1205,5
143位,,武道家,隻眼盗賊,1205,5
