,-,職業,キャラクター,レベル,転生回数
1,-,,愛犬サクラ,2000,5
2,-,,ぷーちゃん♪,2000,5
3,-,,しらたま団子ＬＬ,2000,5
4,-,,カマキリ令嬢,2000,5
5,-,,UnBiR,2000,5
6,-,,とろっとろ牛すじ,2000,5
7,-,,狼輝,1999,5
8,-,,アーリア。,1986,5
9,-,,おーいえ,1984,5
10,-,,お～い恋茶,1978,5
11,-,,りんじょー,1974,5
12,-,,シル星,1941,5
13,-,,ループド,1938,5
14,-,,みゅうごろう,1931,5
15,-,,DXUキャプテンUSA,1931,5
16,-,,あざといたぬき,1931,5
17,-,,【ポッセ】,1927,5
18,-,,レバナス父ちゃん,1925,5
19,-,,らっきーよだすけ,1918,5
20,-,,鷸榧,1917,5
21,-,,katsuxxx,1908,5
22,-,,yamada3000,1907,5
23,-,,伊勢七海,1906,5
24,-,,ﾙﾙｰｼｭ・ﾗﾝﾍﾟﾙｰｼﾞ,1906,5
25,-,,ねこみみ弐号,1904,5
26,-,,あなたのハートに,1902,5
27,-,,Narmaya,1898,5
28,-,,＋カイト＋,1895,5
29,-,,ひさめっち,1894,5
30,-,,§エス§,1891,5
31,-,,〝AIO〟,1888,5
32,-,,darkfy,1888,5
33,-,,獣☆ホブス,1887,5
34,-,,捨ノ型・生生流転,1879,5
35,-,,弓兵頭,1874,5
36,-,,MariaDB,1868,5
37,-,,メリデ♪,1866,5
38,-,,ぼのの,1862,5
39,-,,狛狗,1857,5
40,-,,covid,1852,5
41,-,,Amstel,1844,5
42,-,,か～ら,1844,5
43,-,,Vitamin3000,1844,5
44,-,,光のボウリング,1844,5
45,-,,IEnaI,1843,5
46,-,,サトノレイナス,1840,5
47,-,,たこち,1838,5
48,-,,ぬりぼう,1837,5
49,-,,風の歌,1835,5
50,-,,9rpm,1834,5
