,-,職業,キャラクター,レベル,転生回数
1,-,,たいやきあんこ,1847,5
2,-,,ψXENOψ,1844,5
3,-,,アリス・ワンダー,1841,5
4,-,,レジェンド石橋,1840,5
5,-,,思いやりGDX,1835,5
6,-,,れもんψ,1833,5
7,-,,☆あおり☆,1833,5
8,-,,ハイドシークス,1832,5
9,-,,二階堂パンパース,1830,5
10,-,,mttt,1829,5
11,-,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1828,5
12,-,,カジュアル,1825,5
13,-,,＊鬼鮫＊,1824,5
14,-,,ζhaluluζ,1823,5
15,-,,ｱﾆﾘｿ,1823,5
16,-,,ろずこ,1823,5
17,-,,キングプー,1822,5
18,-,,快活ねえさん,1821,5
19,-,,krisu,1817,5
20,-,,戦略破壊魔術兵器,1815,5
21,-,,愛泉,1815,5
22,-,,Oddesy,1812,5
23,-,,ﾖﾄﾞﾊﾞｼﾞﾍﾟﾀﾞﾙ,1809,5
24,-,,ﾌｪﾘｱ,1809,5
25,-,,アバブ,1808,5
26,-,,うにゃDX,1808,5
27,-,,黒虎ちゃん,1807,5
28,-,,marui11111,1807,5
29,-,,ξスロウξ,1805,5
30,-,,ラクサスドレアン,1805,5
31,-,,ああ播磨灘,1805,5
32,-,,☆☆うっちぃ☆☆,1805,5
33,-,,サクラサケ,1804,5
34,-,,ずっさん,1804,5
35,-,,御暇さん,1804,5
36,-,,アクシズ教神官,1804,5
37,-,,ウリ☆,1804,5
38,-,,たっぷ。,1804,5
39,-,,ルベーグ2世,1803,5
40,-,,†フィル†,1803,5
41,-,,ちぇころん,1802,5
42,-,,腐敗キノコ,1802,5
43,-,,Hard_A,1802,5
44,-,,†LightSide†,1801,5
45,-,,サイバーナイト,1800,5
46,-,,真夏の雨§,1800,5
47,-,,しらすたっぷ。,1800,5
48,-,,アルス君,1800,5
49,-,,WO・Bentley,1800,5
50,-,,xたまきちx,1800,5
